Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
jismukanu																
jismuli																
jismulogi																
jivaki	mercury [element]	Quecksilber <n>	kwikzilver <n>, kwik <n>	cwicseolfor <n>	ὑδράργυρος <f>	argentum vivum <n>, hydrargyrum <n>	mercure <m>, vif-argent <m>	mercurio <m>	мерку́рий <m>, ртуть <f>, гидра́ргирум <m>	קוועקזילבער <n>	כַּסְפִּית <f>	زِئْبَق <m>, زَاؤُوق <m>	水銀 /水银, 汞	水銀	cıva	терекөмеш
jiwa	live [be alive]	Leben <n>, Läbe <n>; leben	leven <n>; leven	līf <n>; libban	ψῡχή <f>, βίος <m>, ζωή <f>; ζῶ	anima <f>, lūx <f>, vīta <f>; vivo, vigeo	vie <f>; vivre	vita <f>; vivere	жизнь <f>, житьё <n>, житие́ <f>; жить, прожи́ть	חיים <m>, לעבן <n>; לעבן	חַיִּים <m>; חַי	حياة <f>, حياة <f>, حياة <f>, حَيَاة <f>, حياة <f>, حياة <f>; عَاش, عَاشَ, حَيِيَ		命, 生命; 生きる, 暮らす	yaşam, ömür, hayat, dirim; yaşamak	тереклек, гомер, тормыш; яшәргә
jiwagrafi	biography [personal life story]	Biographie <f>, Biografie <f>	biografie <f>		βιογραφία <f>	curriculum vitae <n>, biographia <f>	biographie <f>	biografia <f>	жизнеописа́ние <n>, биогра́фия <f>	ביאָגראַפֿיע <f>	קורות חיים <f>, ביוגרפיה <f>, סיפור חיים <m>	تَرْجَمَةُ ٱلْحَيَاةِ <f>, سِيرَة <f>	傳記 /传记	伝記	yaşamöyküsü, biyografi, tercümeihâl	
jiwajotay	standard of living [relative measure of quality of life]	Lebensstandard <m>	welvaartspeil <n>, levensstandaard <m>			cultus vitae <m>	niveau de vie <m>		у́ровень жи́зни <m>, жи́зненный у́ровень <m>			مُسْتَوَى اَلْمَعِيشَة <m>	生活標準 /生活标准, 生活水平	生活水準		
jiwane	live [having life]	lebend	levend	cwic			vivant	vivo	живо́й			حَيّ		生きてる	canlı	
jiwapul																
jixi	know [be justifiably certain or sure about (something true)]	Wissen <n>, Kenntnis <f>; wissen, wüsse	wetenschap, kennis, weten; weten	; witan	γνῶσις <f>; οἶδα, γιγνώσκω, γινώσκω	notitia <f>, notio <f>, cognitio <f>, intelligentia <f>, agnitio <f>; sciō	science <f>, connaissance <f>; savoir	conoscenza <f>; sapere	зна́ние <n>, осведомлённость <f>; ве́дать, знать	וויסן <n>; וויסן	ידיעה <f>, יֶדַע; יָדַע	عِلْم <m>, مَعْرِفَة <f>; عَرَفَ, عَلِمَ, عرف, دِرِي, عرف	見識 /见识, 知識 /知识	知識; 存じ上げる, 知る, 確信している, ご存知である	bilgi, bilim, marifet; bilmek	белем; белергә
jixido																
jixifil																
jixigi																
jixilogi																
jixipel																
jixipeldo																
jixivole																
jogay																
jogaydo																
jogule																
jogulene																
joguleyen																
jojiha																
jojiki																
joker																
jongere																
jongu																
jotay	condition [state of an object], state [a condition]	Zustand <m>, Beschaffenheit <f>, Zustand <m>	toestand, toestand <m>, staat <m>	steall <m>	ἕξις <f>	status <m>, status <m>, habitus <m>	état <m>	stato <m>, condizione <f>	положе́ние <n>, ста́тус <m>, состоя́ние <n>, положе́ние <n>, состоя́ние <n>	צושטאַנד <m>	מַצָּב <m>	حَالَة <f>, وَضْع <m>, حَال <m>, حَالَة <f>	狀態 /状态	状態	durum, hâl	
jotaybon																
jovari																
jowey																
jowey-																
joxu																
joxudo																
joxufil																
joxupul																
jozi																
jubin																
jubinhamburger																
judan																
jugu																
juhudi																
jui																
juigi																
juikal tem																
juilaye																
juimoni																
juine																
juioko	observe [to notice, to watch — see also notice], watch [to observe]	; beobachten	; opmerken, observeren		; θεωρέω, γρηγορέω, ὁράω	; specto, animadverto, specio, aspecto, inspicio, observo, speculor, video, considero, specto, specio, aspecto, speculor, aspicio	; remarquer, observer, observer, regarder	; osservare, guardare, osservare	; смотре́ть, наблюда́ть, следи́ть, наблюда́ть	; אָבסערווירן		; رَصَدَ, لَاحَظَ, رَاقَبَ	; 觀察 /观察	; 観察する	; bakmak, izlemek, gözlemlemek	
juiore	listen [to pay attention to a sound]	; zuelose, hören, zuhören	; luisteren	; hlystan, ġehīeran	; ἀκούω, ἀκροάομαι	; audiō, auscultō, exaudio	; écouter	; ascoltare	; послу́шать, слу́шать	; הערן, צוהערן	; הִקְשִׁיב, הֶאֱזִין	; سمع, أَصْغَى, اِسْتَمَعَ, سمع, أَنْصَتَ, سمع, سَمِعَ		; 聞く	; dinlemek	; тыңларга
juipul																
juitim																
juitimdom																
jujwe																
jujwedo																
jujwegomi																
jul																
jula																
julacu																
julagi																
jularesta																
julaya																
jumbi																
jumbicu																
jumbigi																
jumbiya																
jumhuri																
jumle																
jumlemon																
jumun																
jumundo																
jumunya																
jumunyen																
jundwan																
jundwando																
jungla	jungle [large, undeveloped, humid forest]	Dschungel <m>/<f>/<n>, Urwald <m>	jungle <f>, oerwoud <n>				jungle <f>, forêt vierge <f>, forêt tropicale <f>	giungla <f>	джу́нгли <f>		ג׳וּנגֶל	أَدْغَال <m>, دَغْل <m>, أَجَمَة <f>, غابة <f>	叢林 /丛林, 密林	密林, ジャングル	cengel	
jungwi																
juni	young [in the early part of life or growth]	jugendlich, jung	jeugdig, jong	geong	νέος	iuvenis, puer, adolescens, puella	jeune	giovane	ю́ный, младо́й, молодо́й	יונג	צָעִיר	حَدَث, شَابّ, صَغِير, صَغِير اَلسِّنّ	年輕 /年轻	若い	genç	яшь
juni-																
junibabur	tiger cub [young tiger]	Tigerbaby <n>, Tigerjunges <n>					jeune tigre <m>, tigreau <m>, bébé tigre <m>	tigrotto <m>	тигрёнок <m>							
junibaru	bear cub [young bear]	Bärenjunges <n>	berenwelp <m>, berenjong <n>			catulus ursī <m>, ursulus <m>	ourson <m>, oursonne <f>	cucciolo di orso <m>, orsetto <m>	медвежо́нок <m>			دَيْسَم <m>	熊崽, 小熊	子熊		
junibozi	kid [young goat]	Gitzi <n>, Kitz <n>, Geißlein <n>, Zicklein <n>	geitje <n>		ἔριφος <m>/<f>	haedus <m>	biquet <m>, chevreau <m>	capretto <m>	козлёнок <m>	ציגעלע <n>	גדי <m>	جَدْي <m>	小山羊	仔ヤギ	oğlak	
junibwaw	puppy [young dog]	Hundewelpe <m>, Hundebaby <n>, junger Hund <m>, Welpe <m>, Hündchen <n>	puppy <m>/<f>	hwelp <m>	κῠνίδιον <n>, σκύλαξ <m>	catulus <m>, catellus <m>	chiot <m>	cagnolino <m>, cagnetto <m>, cucciolo <m>	цу́цик <m>, щено́к <m>, кутёнок <m>	הינטעלע <n>	גּוּר <m>, כלבלב <m>	جَرْو <m>	小狗	子犬	enik, yavru köpek, köpek yavrusu	
junidrevo																
junihaul																
junihirxa	fawn [young deer]	Damkalb <n>, Rehkitz <n>, Hirschkalb <n>	reekalf <n>, hertenjong <n>	hindċealf <n>	νεβρός <m>/<f>	hinnuleus <m>	faon <m>	cerbiatto <m>	оленёнок <m>		עֹפֶר <m>	رِيم <m>	小鹿, 麛	子鹿		
junihuhu	owlet [a young owl]	junge Eule <f>, Eulenjunges <n>	uilskuiken <n>				jeune hibou <m>, jeune chouette <f>		совёнок <m>							
junikargux	bunny [young rabbit]	Kaninchenjunges <n>, Häschen <n>	konijntje <n>				lapereau <m>	coniglietto <m>	за́йчик <m>, кро́лик <m>, крольчо́нок <m>		שפנפן <m>, שפנפנה <f>	خَرْنَق <m>	小兔, 小兔子	子兎		
junikrabe																
junikroa	tadpole [toad or frog larva]	Kaulquappe <f>	kikkervisje <n>, dikkopje <n>, dikkop <m>		γυρῖνος <m>	ranunculus <m>, ranula <f>	têtard <m>	girino <m>	голова́стик <m>	קאָפּעקל	רֹאשָׁן <m>	شُرْغُوف <m>	蝌蚪	オタマジャクシ, お玉杓子, おたまじゃくし, 蝌蚪	iribaş	
junimeme	lamb [young sheep]	Lamm <n>	lam <n>, lammetje <n>	lamb <n>	ἀρήν <m>, ἀμνός <m>	agnus <m>, agnellus <m>	agnelle <f>, agneau <m>	agnellino <m>, agnella <f>, agnello <m>	ягнёнок <m>, бара́шек <m>, а́гнец <m>	לאַם <n>	טָלֶה <m>, שֶׂה <m>	خَرُوف <m>, حَمَل <m>	羔, 羊羔, 羔羊	ラム, 小羊, 子羊	kuzu	
junimememaso	lamb [flesh of lamb as food]	Lammfleisch <n>, Lamm <n>	lam <n>, lamsvlees <n>			agnina <f>	agneau <m>	agnello <m>	ягня́тина <f>, бара́нина <f>		טָלֶה <m>, כֶּבֶשׂ <m>	خَرُوف <m>, لَحْم اَلضَّأْن <m>	羊肉	ラム, 羊肉	kuzu	
junimumu	calf [young cow or bull]	Kuhkalb <f>/<n>, Bullenkalb <m>/<n>, Kalb <n>	kalf <n>	ċealf <n>	μόσχος <m>/<f>	vitula <f>, vitellus <m>, vitella <f>, vitulus <m>	velle <f>, veau <m>	vitello <m>	телёнок <m>, теле́ц <m>	קאַלב <n>	עגל, עֵגֶל <m>	عِجْل <m>	犢 /犊, 牛犢 /牛犊, 小牛	子牛	dana, buzağı	
junimyaw	kitten [a young cat]	Kätzlein <n>, Katzenwelpe <m>, Katzerl <n>, Katzenbaby <n>, Kätzchen <n>, Katzenjunges <n>, Kätzli <n>	poesje <n>, katje <n>, kitten <m>	maybe *cathwelp, unknown, as no term is attested		catulus felis <m>	chaton <m>	micetto <m>, micetta <f>, gattino <m>, gattina <f>	котёнок <m>	קעצל <n>	חֲתַלְתּוּל <m>	قُطَيْط <m>, هُرَيْرَة <f>, قُطَيْطَة <f>, هُرَيْر <m>	小貓 /小猫	子猫	göcen, kedicik, enik, kunu	
juninini	infant [very young human being], toddler [young child who has started walking but not fully mastered it]	Kleinkind <n>, Dreikäsehoch <m>, Hosenmatz <m>, Knirps <m>, Kind <n>, Baby <n>, Säugling <m>, kleines Kind <n>, Kriechling <m>, Kleinkind <n>, Wickelkind <n>	zuigeling <m>/<f>, peuter <m>/<f>		νήπιος <m>, βρέφος <n>	infans <m>/<f>	bambin <m>, bébé <m>/<f>, bambine <f>, nourrisson <m>, enfant en bas âge, poupon	trotterellino <m>, bambino <m>, piccolo <m>, trottolino <m>, piccola <f>, bambina <f>, infante <m>/<f>, bambina <f>, bambino <m>	ребёнок <m>, дитя́ <n>, младе́нец <m>, новорождённый <m>, то́ддлер <m>, ребёнок <m>, малы́шка <f>, малы́ш <m>, карапу́з <m>	עופֿעלע <n>, ייפֿעלע <n>	פעוט <m>, זאטוט <m>, תִּינוֹק <m>, עוֹלָל <m>	طِفْل دَارِج <m>, رَضِيع <m>	嬰兒 /婴儿, 小孩, 学步期儿童, 幼兒 /幼儿, 小孩子, 小孩兒 /小孩儿	乳飲み子, 乳児, 幼児, 赤ん坊, 赤ちゃん, 幼児, 子供	bebek	
junipiu																
junisinga	lion cub [young lion]	Löwenwelpe <m>, Löwenjunges <n>, Löwenwelpin <f>, Löwenbaby <n>	leeuwenwelp <m>/<n>, leeuwenwelpje <n>, welp <m>/<n>, welpje <n>				lioncelle <f>, lionçonne <f>, lionceau <m>	leoncina <m>, leoncino <m>	львёнок <m>					子ライオン		
juniswini	piglet [young pig]	Ferkel <n>, Schweinchen <n>	big <n>, biggetje <n>	fearh <m>	χοιρίδιον <n>, χοιρίον <n>	porculus <m>, porcella <f>, porcula <f>, porcellus <m>	porcelet <m>, cochonnet <m>, goret <m>	porcello, maialino <m>	свинёнок <m>, поросёнок <m>, сви́нка <f>	חזירל <n>	חזירון <m>, חֲזַרְזִיר <m>	خِنَّوْص <m>	豬崽 /猪崽, 小豬 /小猪, 豚	子豚, 豚児		
juniuma	foal [young horse]	Füllen <n>, Fohlen <n>, Jungpferd <n>	kachtel <n>, veulen <n>	fola <m>	πῶλος <m>/<f>	equulus <m>	pouliche <f>, poulain <m>	puledro <n>	жеребёнок <m>		סייח <m>	مُهْر <m>, فِلْو <m>	駒子 /驹子, 駒 /驹, 䮔	子馬	kulun, tay	колын
juniyen																
junluku	gravitate [to move under the force of gravity]	Erdanziehung <f>, Gravitation <f>	gravitatie <f>, zwaartekracht <f>			gravitās <f>	gravité <f>, pesanteur <f>	gravità <f>	тяготе́ние <n>, гравита́ция, притяже́ние <n>; гравитировать		משיכה <f>, כְּבִידָה	جَاذِبِيَّة <f>	重力	重力	kütle çekimi	
jurisdiksi																
jurisdiksili																
juruha	wound [hurt or injure], injure [to wound or cause physical harm]	Verletzung <f>, Wunde <f>; verletzen, verletzen, verwunden	verwonding <f>, kwetsuur <f>, wonde <f>, wond <f>; kwetsen, blesseren, verwonden, kwetsen	benn, wund; wierdan, bennian, wundian, ġebennian	τραῦμα <n>, ὠτειλή <f>; τιτρώσκω, τραυματίζω, ἑλκόω, τιτρώσκω, τραυματίζω, βλάπτω	vulnus <n>, plāga <f>; sauciō, noceo	blessure <f>, plaie <f>; blesser	lesione <f>, ferita <f>; ferire, danneggiare, ferire	ра́на <f>, ране́ние <n>, тра́вма <f>; пора́нить, ра́нить	וווּנד <f>	פְּגִיעָה <f>, פֶּצַע <m>; פָּגַע	جُرْح <m>; جَرَحَ	傷口 /伤口, 傷害 /伤害; 損傷 /损伤, 傷害 /伤害, 擊傷 /击伤, 致傷 /致伤, 傷害 /伤害	怪我, 傷; 傷付ける, 痛める, 怪我させる, 傷付ける	hasar, yara; yaralamak	җәрәхәт
juruhado	wounded [suffering from a wound]	verwundet				saucius, laesus	blessé	ferito	ра́неный			مَجْرُوح, جَرِيح	負傷 /负伤	負傷した	yaralanan, yaralı	
jusu	juice [liquid from a plant]	Saft <m>	sap <n>		ὀπός <m>	cremor <m>, sūcus <m>	jus <m>	succo <m>	сок <m>	זאַפֿט <m>	מִיץ <m>	عَصِير <m>	果汁, 汁, 菜汁, 樹液 /树液	汁, 樹液	meyve suyu	
juyuen	rescue [to save from any danger or violence], save [to help someone to survive, or rescue someone]	Erlösung <f>, Rettung <f>, Rettung <f>; retten	redding, verlossing <f>; redden, bevrijden, verlossen, redden	hǣlu <f>; hreddan	σωτηρία <f>; σῴζω	redemptura, asservatio, subventio, redemptio, ademptio, extractio, conservatio <f>, salus <f>; redemptura, adimō, redimō, ademptio, subveniō, extractiō, ēripiō, asservo, extrahō, subventiō, asseravatio, redemptiō, opitulor, servo, succurro, iuvo, auxilior, subvenio, adiuvo	salut <m>, secours <m>, sauvetage <m>, rescousse; délivrer, secourir, sauver, sauver	salvataggio, salvezza <f>; salvare, salvare, soccorrere	спасе́ние <n>, избавле́ние <n>, спасе́ние <n>; спасти́, выруча́ть, спаса́ть, вы́ручить, спасти́, спаса́ть	ישועה <f>, גאולה; מציל זײַן, ראַטעווען	יְשַׁעֲ, גאולה, הצלה <f>; הִצִּיל	خَلَاص <m>, تَطْهِير اَلنَّفْس <m>, إِنْقَاذ <m>; أَنْجَى, أَنْقَذَ, نَجَّى, أَنْقَذَ, خَلَّصَ, أنقذ, نَجَّى	救出, 援救, 營救 /营救, 救恩, 救贖 /救赎; 救援, 救助, 營救 /营救, 拯救, 拯救	救出, 救済, 救い; 救う, 救助する, 救出する, 助ける, 救い出す, 救う, 救助する, 助ける	selamet, kurtuluş; kurtarmak	; коткару
juyuenyen	savior [a person who saves someone, rescues another from harm]	Retterin <f>, Retter <m>, Erlöser <m>, Erlöserin <f>, Erretter <m>, Erretterin <f>	redder <m>, redster <f>	hǣlend <m>	σώτειρα <f>, σωτήρ <m>	servātrīx <f>, servātor <m>, Sospita, salvātrīx <f>, salvātor <m>	sauveuse <f>, sauveur <m>	salvatrice <f>, redentrice <f>, salvatore <m>, redentore <m>	спаси́тель <m>, спаса́тельница <f>, спаса́тель <m>, спаси́тельница <f>		מוֹשִיעַ	مُخَلِّص <m>, مُنْقِذ <m>	救世主, 救星	救世主	kurtarıcı	
juzam	leprosy [infectious disease caused by M. leprae]	Aussatz <m>, Lepra <f>	melaatsheid, lepra	hrēofl <f>	λέπρα <f>	lepra <f>	lèpre <f>	lebbra <f>	прока́за <f>, ле́пра <f>		צרעת <f>	جُذَام <m>	麻风病, 麻風病 /麻风病 or 痲瘋病 /痳疯病, 癩病 /癞病	癩病, ハンセン病	lepra, cüzzam	
jwan		Drehung <f>, Abbiegung <f>	bocht, draai		στροφή <f>		virage <m>	giro <m>, virata <f>, svolta <f>, sterzata <f>	поворо́т <m>			اِنْعِطَاف <m>	轉彎 /转弯, 轉向 /转向			
jwando																
jyen																
jyendo	fried [cooked by frying]	gebraten, frittiert				frictus	frit	fritto	жа́реный		מְטֻגָּן	مَقْلِيّ	油煎, 煎	油で揚げた, フライの		
kabaca	gourd [fruit], pumpkin [plant]	Kürbispflanze <f>, Kürbis <m>, Flaschenkürbis <m>, Kalebasse <f>	pompoen <f>		τολύπη <f>	cucurbita <f>	citrouille <f>, calebasse <f>	zucca <f>	ты́ква <f>, горля́нка <f>, ты́ква <f>	דיניע <f>, קירבעס <m>	דְּלַעַת <f>, דלעת	يَقْطِين <m>, قَرْع <m>, دُبَاء <f>	南瓜, 葫蘆 /葫芦, 瓜	瓢箪, ヒョウタン, カボチャ, 南瓜	bal kabağı, kabak, susak, sukabağı	кабак
kabel 																
kabiji	cabbage [leaves of this plant eaten as a vegetable]	Kohl <m>	kool <m>	cāwel <m>	κράμβη <f>	brassica <f>	chou <m>	cavolo <m>	капу́ста <f>	קרויט <n>	כְּרוּב <m>	مَلْفُوف <m>, كُرُنْب <m>	捲心菜 /卷心菜	キャベツ, 甘藍, 玉菜	lahana	кәбестә
kabila	tribe [group of people]	Stamm <m>, Tribus <f>, Volk <n>, Völklein <n>, Volksstamm <m>, Völkerschaft <f>, Sippe <f>, Sippschaft <f>, Völkchen <n>	stam <m>	þēod <f>	φυλή <f>	tribus <f>	tribu <f>	tribù <f>	пле́мя <n>, род <m>	שבֿט <m>	שֵׁבֶט <m>	قَبِيلَة <f>, قَوْم <m>, عَشِيرَة <f>	部族, 部落	部族, 民族	kabile, boy	кабилә
kabilali	tribal [of or relating to tribes]	Stammes-	stammen-, tribaal, stam-			tribālis, gentilicius	tribal	tribale	племенно́й		שִׁבְטִי	قَبَلِيّ				
kabju	partridge [any bird of the genera Perdix or Alectoris]	Rebhuhn <n>	patrijs <f>		πέρδιξ <m>/<f>	perdīx <m>/<f>	perdreau <m>, garbon <m>/<f>, perdrix <f>	pernice <f>	куропа́тка <f>		חוגלה \ חָגְלָה <f>	حَجَل <m>, قبج	山鶉 /山鹑, 石雞 /石鸡	ヤマウズラ, 山鶉	keklik	кыр тавыгы
kaburi	grave [excavation for burial], tomb [small building or vault for the remains of the dead]	Gruft <f>, Grabmal <n>, Grab <n>	graf <n>, tombe <m>/<f>	byrġen <f>, græf <n>	τάφος <m>, τύμβος <m>	sepulcrum <n>, tumba <f>, bustum <n>, conditorium <n>	tombe <f>, tombeau <m>, tombe <f>	tomba <f>, fossa <f>, tomba <f>	гробни́ца <f>, склеп <m>, моги́ла <f>	גרוב <m>/<f>, קבֿרל <n>, קבֿר <m>	קֶבֶר <m>	قبر <m>, قبر <m>, ضَرِيح <m>, قَبْر <m>, قبر <m>, ضَرِيح <m>, قَبْر <m>	墓葬, 宅兆, 墳墓 /坟墓	墓, 墳墓, 墓	mezar, sin, gömüt, kabir, makber, metfen, mezar	гүр, кабер
kaburidom	graveyard [tract of land in which the dead are buried]	Gottesacker <m>, Leichenhof <m>, Friedhof <m>, Kirchhof <m>, Begräbnisplatz <m>	begraafplaats <f>, kerkhof <n>, knekelveld <n>	līctūn <m>	κοιμητήριον <n>	sepulcrētum <n>, coemeterium <n>	cimetière <m>	cimitero <m>, sepolcreto <m>, camposanto <m>	кирку́т <m>, кла́дбище <n>, пого́ст <m>	צווינטער <m>, בית־עולם <m>, קבֿרות <m>	בֵּית עוֹלָם, בֵּית קְבָרוֹת <m>	تُرْبَة, مَدْفِن <m>, مَقْبَرَة <f>, مَقْبُرَة <f>, جَبّانة <f>	墳地 /坟地, 公墓 墓地	墓場, 霊園, 墓, 化野, 墓地, 墓園	mezaristan, tahtalıköy, kabristan, mezarlık, gömütlük	каберлек, зират
kabutar	dove [bird of the family Columbidae — see also pigeon], pigeon [bird of the dove and pigeon family Columbidae — see also dove]	Täuber <m>, Kolumbide <m>, Täublein <n>, Täubin <f>, Taube <f>, Täubchen <n>, Taubenvogel <m>, Tauber <m>, Tauberich <m>, Täuberich <m>, Taube <f>	doffer <m>, duif <m>/<f>, vrouwtjesduif <f>, duifje <m>/<f>/<n>, duivin <f>, mannetjesduif <m>, duif <m>/<f>	dūfe <f>, culfre <f>	περιστερά <f>	columbus <m>, columba <f>, turtur <m>, columbula <f>, columbus <m>, columba <f>, columbulus <m>	pigeon <m>, colombe <f>, pigeon <m>	piccione <m>, picciona <f>, colombo <m>, colomba <f>, colomba <f>, piccione <m>	голу́бка <f>, го́лубь <m>, голу́бка <f>, го́рлица <f>, го́лубь <m>	טויב <f>	יוֹנָה <f>	حَمَامَة <f>, يَمَام <m>, حَمَام <m>	鴿子 /鸽子	鳩	güvercin, güvercin, kumru	күгәрчен
Kabuverdi																
kacaku		Schmuggel <m>	smokkel <m>			contrabannum <n>	trafique <m>	contrabbando <m>	контраба́нда <f>			تَهْرِيب <m>	走私	密航, 密輸	kaçakçılık	контрабанда
kacakudo																
kacakuyen																
kacupa	turtle [land or marine reptile with a shell]	Schildkröte <f>	schildpad <f>	byrdling <m>	χελώνη <f>, χέλυς <f>	testūdō <f>	tortue <f>	testuggine <f>, tartaruga <f>	желвь <f>, черепа́ха <f>	טשערעפּאַכע <f>, שילדקרעט	צָב <m>	غَيْلَم <m>, سُلَحْفَاة <f>	龜 /龟, 鱉 /鳖, 王八, 烏龜 /乌龟	カメ, 亀	tosbağa, kaplumbağa	ташбака
kadam																
kadiba																
kadibayen																
kadmyum																
kadro																
kafare																
kafareabil																
kafaredo																
kafareible																
kafarene																
kafas																
kafe	coffee [beverage]	Kaffee <m>	koffie <m>			cafaea <f>, coffaeum <n>, coffaea <f>, cafaeum <n>, coffea <f>, coffeum <n>, cafea <f>, cafeum <n>, caffēa <f>	café <m>	caffè <m>	ко́фе <m>/<n>	קאַווע <f>	קָפֶה <m>	قَهْوَة <f>, گهوة, قَهْوَة <f>, قهوة, قَهْوَة <f>, قهوة <f>		カフェ, コーヒー, 珈琲	kahve, konur	каһвә
kafedom																
kafeina	caffeine [alkaloid found naturally in tea and coffee plants]	Koffein <n>, Coffein <n>	cafeïne <m>/<f>			coffēinum <n>	caféine <f>	caffeina <f>	кофеи́н <m>	קאַפֿעיִן <m>	קָפֶאִין <m>	كَافِيِين <m>	咖啡因, 咖啡鹼 /咖啡碱	カフェイン	kafein	
kafetora																
kafur	camphor [white transparent waxy crystalline isoprenoid ketone]	Kampfer <m>, Campher <m>	kamfer <m>				camphre <m>	canfora <f>	ка́мфора <f>, камфара́ <f>		קַמפוֹר	كَافُور	樟腦 /樟脑	カンフル, 樟脳	kâfur	
kafya		Reim <m>	rijm <n>, rijmwoord <n>		ὁμοιοκαταληξία		rime <f>	rima <f>	ри́фма <m>		חָרוּז	قَافِيَة <f>	韻 /韵, 韻腳 /韵脚	韻	kafiye	
kafyane																
kahabu	prostitute [a person having sex for profit]	Prostituierte <f>, Prostituierter <m>	prostituée <f>, prostituee <f>, hoer <f>, prostitué <m>	myltestre <f>, portcwene <f>, hore <f>	πόρνος <m>, πόρνη <f>	spintria <m>, scortum <n>, meretrix <f>	prostituée <f>, fille des rues <f>, prostitué <m>, fille de joie <f>	pandemia <f>, squillo <f>, sgualdrina <f>, puttana <f>, baldracca <f>, battona <f>, prostituta <f>	проститу́тка <f>, шлю́ха <f>, ку́рва <f>, блядь <f>	זונה <f>, הור <f>	זוֹנֶה <m>, זוֹנָה <f>	زَانِيَّة <f>, دَاعِرَة <f>, بَغِيَّة <f>, قَحْبَة <f>, عَاهِرَة <f>	娼妓, 雞婆 /鸡婆, 妓女 <f>, 風塵女 /风尘女, 妓男 <m>, 鴨 /鸭 <m>, 雞 /鸡 <f>	街娼, 売春婦, 娼婦	orospu, sürtük, seks işçisi, kahpe, fahişe, nataşa, paçoz, hayat kadını, kevaşe, orta malı	фәхишә
kahabuergo	prostitution [having sex for profit]	Prostitution <f>	prostitutie <f>		πορνεία <f>	prostitutio <f>	prostitution <f>	prostituzione <f>	проститу́ция <f>		זנות <f>	بِغَاءٌ, دَعَارَة	賣淫 /卖淫, 賣春 /卖春	淫売, 切り売り主義, 売春, 買春	fahişelik	
kahabugi																
kahabuya																
kahruba																
Kain	Cain [son of Adam and Eve]	Kain <m>	Kaïn <m>	Cāin	Κάϊν	Caīnus <m>, Cain <m>	Caïn <m>	Caino <m>	Ка́ин <m>		קַ֔יִן <m>	قَابِيل <m>, قَايِين <m>	該隱 /该隐	カイン	Kabil	
kaka	crap [to defecate]	Scheiße, Kacke <f>	poep	meox <n>		; cacō	caca <m>, crotte <f>; couler un bronze, chier, poser une pêche	escrementi, merda, cacca <f>, schifezza	гомно́ <n>, дерьмо́ <n>, говно́ <n>		חָרָא <m>	خَرَاء, بُرَاز <m>				
kakagi																
kakao																
kakapo																
kaki																
kakoku																
kaku																
kakugi																
kakutus																
kal																
kalaci																
Kalali	Greenland [a large self-governing island in North America]	Grönland <n>	Groenland <n>			Groenlandia <f>	Groenland <m>	Groenlandia <f>	Гренла́ндия <f>	גרינלאַנד <n>	גְּרִינְלַנְד <f>	جِرِينْلَانْد <f>, غِرِينْلَانْد <f>	格陵蘭 /格陵兰	グリーンランド	Grönland	
kalamar																
kalamu																
kalapa																
kalapado																
kalapatul																
kalcita	calcite [calcium carbonate mineral]	Calcit <n>, Kalkspat <m>	calciet <n>				calcite <f>	calcite <f>	кальци́т <m>				方解石, 冰洲石	方解石	kalsit	
kalcu																
kalcyum	calcium [chemical element of atomic number 20]	Kalzium <n>, Calcium <n>	calcium <n>			calcium <n>	calcium <m>	calcio <m>	ка́льций <m>	קאַלציום <m>	קלציום, סידן	كَالْسِيُوم <m>, كَلْسِيُوم <m>	鈣 /钙	石灰素, カルシウム	kalsiyum	
Kaleb	Caleb [biblical character]	Kaleb					Caleb	Caleb	Халев, Калеб		כָּלֵב	كَالِب <m>				
kalebu	mold [To shape in or on a mold]	; modellieren, modulieren, formen	; vormen		; πλάσσω			; dare la forma, modellare	; формова́ть			; سَنَّ	模型			
kalebudo																
kalendar	calendar [system by which time is divided]	Kalender <m>	kalender <m>			fastī <m>	calendrier	calendario <m>	календа́рь <m>	קאַלענדאַר <m>	לוּחַ שָׁנָה <m>	تَقْوِيم <m>	曆 /历, 曆法 /历法, 月份牌, 日曆 /日历	カレンダー, 暦, 暦法	takvim	тәкъвим
kalgi	empty [to make empty]	; leeren, entleeren, ausleeren, leer machen	; legen, leegmaken			; vacuō	; vider	; vuotare, svuotare	; вынимать, опустоши́ть, вынуть, опустоша́ть, опорожни́ть, опорожня́ть			; فَرَغَ		; 空にする	; boşaltmak	
kalibra																
kalibrado																
kalifornyum																
kalkulus																
kalori																
kalorili																
Kalvin	Calvin [male given name|surname]	Calvin	Calvijn			Calvinus	Calvin	Calvino	Кальви́н				加爾文 /加尔文, 卡爾文 /卡尔文, 卡爾文 /卡尔文			
Kalvinismo	Calvinism [Christian religious tradition]	Kalvinismus <m>, Calvinismus <m>	calvinisme <n>				calvinisme <m>	calvinismo <m>	кальвини́зм <m>				加爾文主義 /加尔文主义	カルビン主義	Kalvinizm	
kalya	emptiness [the state or feeling of being empty]	Leerheit <f>, Leere <f>	leegte <f>		κενότης <f>		vacuité <f>, vide <m>, néant <m>		пустота́ <f>		ריקנות <f>		空虛 /空虚, 空洞	虚しさ, 空, 空っぽ, 空虚		
