Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
adola	muscle [contractile tissue|organ composed of muscle tissue]	Muskel <f>, Muskel <m>	spier, spier <f>	līra <m>	μῦς <m>, ἴς <f>	mūsculus <m>, torus <m>, musculus <m>	muscle <m>	muscolo <m>	му́скул <m>, мы́шца <f>	מוסקל <m>	שְׁרִיר <m>	عَضَلَة <f>	筋肉, 肌肉	筋肉, 筋肉, 筋	kas, adale	мускул
adolabala	brawny [characterized by brawn]	muskelbepackt, muskulös	gespierd			torōsus	balaise, balèze	muscoloso	мускули́стый							
adolabalaya	brawn [physical strength, muscularity]						muscle		мускулистость <f>				膂力			
adolakal	scrawny [thin, malnourished and weak]	abgemagert, dürr	ondervoed, mager, zwak				maigrichon, famélique	macilento, emaciato	костля́вый, то́щий				消瘦, 瘦弱		cılız, sıska	
adolapul	muscular [having large, well-developed muscles]		gespierd			torōsus	musculeux	muscoloso	мускули́стый					ムキムキ	kaslı	
adolaya																
adopsi	adopt [to take by choice into relationship, as, child, heir, friend, citizen]	Adoption <f>; adoptieren	adoptie <f>; aannemen, adopteren	ġewȳsċing <f>; ġewȳsċan	υἱοθεσία <f>	; adoptō	adoption <f>; adopter	adozione <f>; adottare	адо́пция <f>, удочере́ние <n>, усыновле́ние <n>; усыновля́ть, удочеря́ть, удочери́ть, усынови́ть	אַדאָפּטירונג <f>; אַדאָפּטירן	אימוץ; אִמֵּץ	تَبَنٍّ <m>; تَبَنَّى	領養 /领养, 收養 /收养; 收養 /收养	養子縁組; 養子にする	evlat edinme; evlat edinmek	
adopsibyuro																
adopsili	adoptive [related through adoption]	adoptiv		ġewȳsċendlīċ			adoptif	adottivo	приёмный				養 /养	養		
adopsiyen																
adrenalin	adrenaline [the compound epinephrine], epinephrine [hormone and nurotransmitter]	Epinephrin <n>, Adrenalin <n>	adrenaline <f>				adrénaline <f>, épinéphrine <f>	epinefrina <f>, adrenalina <f>	эпинефри́н <m>, адренали́н <m>, адренали́н <m>		אפינפרין <m>, אדרנלין <m>	أَدْرِينَالِين <m>	腎上腺素 /肾上腺素	エピネフリン, アドレナリン	epinefrin, adrenalin, adrenalin	
adresu		Anschrift <f>, Adresse <f>	adres <n>				adresse <f>	indirizzo <m>	а́дрес <m>	אַדרעס <m>	כְּתוֹבֶת <f>	عِنْوَان <m>, عُنْوَان <m>	地址	住所, 宛名	adres, unvan	адрес
adresukitabu	address book [small book with addresses]	Adressbuch <n>	adresboek <n>				carnet d'adresses <m>	rubrica <f>	а́дресная кни́га <f>				通訊錄 /通讯录, 地址簿	アドレス帳		
adresulari																
Adrya																
afarin	well done [exclamation of praise], bravo [interjection]	; gut gemacht, gut getan	; goed zo, goed gedaan		; πύππαξ, εὖγε	; mactē	; bien joué, bravo, bravo	; bene, ben fatto!, bravo, bravo	; бра́во, так держа́ть, молоде́ц!, бра́во!	; בראַוואָ, אַ לעבן אויף דײַן קאָפּ	; כָּל הַכָּבוֹד, יופי \ יֹפִי	; بْرَافُو, بِرَافُو, أَحْسَنْتَ, عَفَارِم, أَحْسَنْتِ	; 幹得好 /干得好	; 良くやった！, 天晴れ！, よくできた, よくできました, 善哉！, 天晴れ, ブラボー	; aferin	
afatu	catastrophe [any large and disastrous event of great significance]	Unheil <n>, Unglück <n>, Katastrophe <f>	catastrofe <f>, ramp <f>, onheil <n>		καταστροφή <f>	calamitās <f>	catastrophe <f>	catastrofe <f>	бе́дствие <n>, катастро́фа <f>		אָסוֹן <m>, קָטַסְטְרוֹפָה <f>	آفَة <f>, مُصِيبَة <f>, فَاجِعَة <f>, كَارِثَة <f>	災殃 /灾殃, 災難 /灾难, 災禍 /灾祸, 災害 /灾害	大災害, 災殃, 災害, 災難	facia, felaket, afet	афәт
afatupul	catastrophic [disastrous; ruinous]	katastrophal	rampzalig, catastrofaal				désastreux, catastrophique		катастрофи́ческий, ги́бельный, бе́дственный				悲慘的 /悲惨的, 招致大禍的 /招致大祸的			
Afgani	Afghanistan [country]	Afghanistan <n>, Afganischtan	Afghanistan <n>			Afgania <f>, Ariana <f>	Afghanistan <m>	Afghanistan <m>, Afganistan <m>, Afgania <f>	Афганиста́н <m>, Афга́н <m>	אַפֿגאַניסטאַן	אַפְגָּנִיסְטָן <f>	أَفْغَانِسْتَان <f>		アフガン, アフガニスタン	Afganistan	Әфганстан
Afganili																
Afganiyen	Afghan [person from Afghanistan]	Afghane <m>, Afghanin <f>	Afghaanse <f>, Afghaan <m>				Afghan <m>, Afghane <f>	afghana <f>, afghano <m>	афга́нец <m>, афга́нка <f>		אַפְגָּנִי <m>	أَفْغَانِيَّة <f>, أَفْغَانِيّ	阿富汗人	アフガニスタン人, アフガン人	Afgan	
Afrika	Africa [continent]	Afrika <n>	Afrika <n>	Affrica <f>	Ἀφρική <f>, Λιβύη	Libya <f>, Āfrica <f>	l’Afrique <f>	Africa <f>	А́фрика <f>	אַפֿריקע	אַפְרִיקָה <f>	إِفْرِيقِيَا <f>, أَفْرِيقِيَا <f>	非洲, 阿非利加	アフリカ, 阿弗利加	Afrika	Африка
Afrikali	African [of or pertaining to Africa]	afrikanisch	Afrikaans			āfricus, āfer, āfricānus	africain	africano	африка́нский	אַפֿריקאַניש	אַפְרִיקַאי	أَفْرِيقِيّ, إِفْرِيقِيّ	非洲的	アフリカの	Afrikalı	
Afrikanse																
Afrikansesa	Afrikaans [language]	Afrikaans <n>	Zuid-Afrikaans <n>, Afrikaans <n>				afrikaans <m>	afrikaans	африка́анс <m>	אַפֿריקאַנס	אַפְרִיקַנְס	لُغَة أَفْرِيكَانِيَّة <f>	斐語 /斐语, 阿非利堪斯語 /阿非利堪斯语, 阿非利卡語 /阿非利卡语, 南非荷蘭語 /南非荷兰语, 南非語 /南非语	アフリカーンス語	Afrikanca, Afrikaans, Afrikaner	
Afrikanseyen	Afrikaner [member of ethnic group]	Bure <m>, Kapholländer <m>, Afrikaander <m>	Afrikaner <m>				Afrikaner <m>/<f>	afrikander <m>/<f>	африка́нер <m>, африка́ндер <m>			أَفْرِيكَانِيّ <m>, أَفْرِيكَانِيَّة <f>	阿非利卡人	アフリカーナー		
Afrikayen	African [a native of Africa]	Afrikaner <m>, Afrikanerin <f>	Afrikaan <m>, Afrikaanse <f>		Ἄφρος <m>	Āfer <m>	Africaine <f>, Africain <m>	africano <m>, africana <f>	африка́нка <f>, африка́нец <m>	אַפֿריקאַנער <m>, אַפֿריקאַנערין <f>	אפריקאית <f>, אַפְרִיקַאי <m>	إِفْرِيقِيَّة <f>, إِفْرِيقِيّ <m>	非洲人	アフリカ人	Afrikalı	
afsane	legend [story of unknown origin describing plausible but extraordinary past events]	Legende <f>	legende <f>			fabula <f>	légende	leggenda <f>, epopea <f>, favola <f>	пове́рье <n>, леге́нда <f>, сказа́ние <n>, преда́ние <n>	לעגענדע <f>	אַגָּדָה <f>	أُسْطُورَة <f>	傳說 /传说	伝説	efsane	риваять, легенда
afsaneli	legendary [of or pertaining to a legend]	legendär	legendarisch			fabularis	légendaire	leggendario	легенда́рный			أُسْطُورِيّ		伝説上の	destansı, efsanevi	
agil		wendig, behände, agil	behendig, beweeglijk, lenig		εὐκίνητος	agilis, pernix	agile		прово́рный, подви́жный, ло́вкий, ги́бкий		זריז	رَشِيق, خَفِيف اَلْحَرَكَة	敏捷	すばしこい, 敏捷な		
agilya																
Agustin	Augustine [male given name]	Augustin	Augustinus <m>				Augustin	Agostino	Августи́н				奧古斯丁 /奥古斯丁, 奧斯定 /奥斯定			
Ahab	Ahab [biblical king of Israel]	Ahab	Achab		Ἀχαάβ <m>	Achābus <m>	Achab		Аха́в		אַחְאָב	آخَاب <m>	亞哈 /亚哈			
aham	I see [Translations], understood [indication of comprehension]	Verstehen <n>, Verständnis <n>; begreifen, verstehen; Ach so!	begrijpen; snappen, begrijpen; begrepen	; understandan, onġietan	κατάληψις <f>; ἐπίσταμαι, ἐννοέω, συνίημι	; subaudio, conspicio, exaudio, teneo, percipio, comprehendō, capio, video, interpretor, scio, intellegō	compréhension <f>, entendement <m>; comprendre; je vois, compris	comprensione <f>; capire, comprendere, intendere	разуме́ние <n>, поня́тие <n>, осмысле́ние <n>, понима́ние <n>; поня́ть, понима́ть, разуме́ть; я́сно, поня́тно, понима́ю, понял, поня́тно	; פֿאַרשטיין	הֲבָנָה <f>; הֵבִין	فَهْم <m>; فَهِمَ	理解, 了解, 瞭解 /了解; 聽得懂 /听得懂, 看得懂, 了解 /暸解, 明白, 理解, 懂; 懂了, 明白了, 原來如此 /原来如此	理解, 了解; 理解する, 分かる; 了解, 分かった, 分かりました, なるほど, ふむ, そうですね	anlayış; anlamak; anladım, belli	; аңларга
ahamgi																
ahamible																
ahamnenible																
