Word	EnglishTranslation	Pronoun (raw)	Pronoun
Atlantiko	Atlantic (Ocean)	to	to
atlas	atlas		to
Atlas	Atlas	te	te
atleti	athletics		to
atletiyen	athlete	te	te
atmosfer	atmosphere	to	to
ato	act, performance; act, play a role		to
atolo	atoll	to	to
atomu	atom		to
atomubomba	atom bomb, atomic bomb	to	to
atopupe	puppet, marionette	to	to
atoya	acting	to	to
atoyen	actor, actress	te	te
atre	parent; parent	te	te
atrebasa	native language	to	to
atredexa	mother land	to	to
atreya	parenthood, paternity	to	to
aventur	adventure; venture		to
avokato	avocado	te, to	to, te
awajela	hurry away, hurry off		to
awbujo	kidnapping; kidnap, carry off, run away with		to
awcu	disappearance; disappear	to	to
awcudu	deprivation; take away, deprive (of)		to
awdio	audio		to
awfley	; fly away		to
awgi	; (cause to) disappear, get rid of	to	to
awglu	; drink up	to	to
awgutonente	analgesic, analgaesic, painkiller, pain reliever	to	to
awidi	leave; leave, go away, depart		to
awizin	; relinquish, yield, give up, surrender		to
awjeti	elimination, deletion; throw out, throw away, eliminate, delete, discard		to
awjuicu	distraction; get distracted, become distracted	to	to
awjuigi	distraction; distract	to	to
awmafu	pardon; pardon, let off the hook		to
awmotsu	; erase	to	to
awmotsutul	eraser	to	to
awpawbu	flight; run away, flee		to
awpel	; drive away, repel 	to	to
awra	aura		to
awrestagi	abandonment; abandon	to	to
awsen	absence; be absent, be away		to
awsenjenmin	alibi		to
Awstrali	Australia	to	to
Awstralia	Australia (_continent_), Sahul	to	to
Awstraliyen	Australian	te	te
awtentigi	authentication, certification, verification; authenticate, certify, verify	to	to
awtentiya	authenticity	to	to
awtiya	autism	to	to
awtiyen	autistic person	te	te
awtonomya	autonomy	to	to
awtorita	authority; authorize		to
awtoritaya	authorization	to	to
awyam	; eat up, eat away	to	to
awyao	biting away; bite away		to
awyongu	expenditure; spend, expend		to
axam	evening	to	to
axamyam	dinner; eat dinner, have dinner	to	to
axke	tear (_eye_); tear (up)		to
axkegi	cause (somebody) to tear up, make Isomebody) tear up	to	to
axkekatru	teardrop		to
axkemon	teardrop		to
axolotle	axolotl, _Ambystoma mexicanum_	te	te
aya	letter a, ace		to
ayay	scream (_in pain or fear_); scream, yell	to	to
ayaygi	cause (somebody) to scream (_in pain or fear_), make (somebody) scream (_in pain or fear_)	to	to
aybu	caress, stroke, pet; caress, stroke, pet		to
ayna	mirror; mirror, reflect	to	to
aynaya	reflection (_of light_)	to	to
aynestaynyum	einsteinium, Es	to	to
ayse	ice	to	to
aysebarix	hail; hail	to	to
ayseeskeyti	ice skating; ice skate		to
aysejabal	iceberg	to	to
aysekrimu	ice cream	to	to
aysemon	piece of ice	to	to
aysenahir	glacier	to	to
Azerbayjan	Azerbaijan	to	to
Azerbayjansa	Azerbaijani (language), Azeri (language), Azeri Turkic	to	to
Azerbayjanyen	Azerbaijani (person), Azeri (person)	te	te
azizuyen	darling, beloved	te	te
Babilon	Babylon, Babylonia, Babel	to	to
babun	baboon, _Papio_	te	te
babur	tiger, _Panthera tigris_	te	te
bacelor	bachelor (graduate)	te	te
bacelorya	bachelor's degree, baccalaureate	to	to
bacilus	bacillus		to
badam	almond	to	to
badammilko	almond milk	to	to
badminton	badminton	to	to
Bafin	Baffin		
bagala	mule, _Equus mulus_	te	te
bage	artificially divided: part, portion, piece, section; cut (up), portion, allocate		to
bagor	fence; fence		to
Bahama	the Bahamas	to	to
Bahamayen	Bahamian (person)	te	te
bahari	sea, ocean	to	to
Bahari Antartiko	Antarctic Ocean		to
Bahari Artiko	Arctic Ocean, (the) Arctic		to
Bahari Atlantiko	Atlantic Ocean, (the) Atlantic		to
Bahari Hindiko	Indian Ocean, Indic Ocean		to
Bahari Pacifiko	Pacific Ocean, (the) Pacific		to
bahariestare	starfish, sea-star, _Asteroidea_	te	te
baharigardan	strait	to	to
baharigebo	sound (_geography_)	to	to
baharikacupa	sea turtle, marine turtle, _Chelonioidea_	te	te
baharilogi	oceanography	to	to
bahariyen	sailor	te	te
Bahrayn	Bahrain	to	to
Bahraynyen	Bahraini (person)	te	te
baji	badge, insignia		to
bakalao	cod, _Gadus_	te	te
bakugamon	backgammon		to
bakuteri	bacteria	te	te
bakxixi	tip, gratuity; (give a) tip	to	to
balacu	; strengthen, become strong	to	to
balagi	; strengthen, make strong	to	to
balaje	(degree of) strength	to	to
balangu	grasshopper, locust, _Caelifera_, _Acridomorpha_	te	te
balaxey	(a) strength	to	to
balaya	strength	to	to
balde	bucket	to	to
Balear	Balear		
balem	spear, lance	to	to
balena	whale, _Cetacea_	te	te
baleto	ballet		to
baletoyen	ballet dancer, ballerina	te	te
balgam	phlegm		to
balkon	balcony		to
balon	balloon	to	to
balonnavi	blimp, airship	to	to
balsam	balsam, balm	to	to
Baltiko	Baltic	to	to
