Word	EnglishTranslation	Pronoun (raw)	Pronoun
establi	establishing; establish, determine, settle, set up, found		to
establixey	establishment, institution, foundation	to	to
estampe	stamp, seal; stamp, seal		to
estandar	standard, default; standardize		to
estano	tin, Sn	to	to
estare	star	to	to
estarefruta	starfruit, carambola	to	to
estarelari	asterism, constellation		
estatisti	statistics		to
estato	state, province		to
estatokef	governor	te	te
estatomon	county		to
estatus	status		to
estay	stance; stand, be standing		to
Estefan	Stephan, Stephen, Steven	te	te
Ester	Esther	te	te
esteyple	staple; staple	to	to
esteypletul	stapler	to	to
Esti	Estonia	to	to
estigma	stigma; stigmatize		to
estilo	style		to
estimula	stimulus, motivation; stimulate, motivate, feel stimulated, feel motivated		to
Estisa	Estonian (language)	to	to
Estiyen	Estonian (person)	te	te
esto	stop, halt, cessation; cease, stop (_come or bring to a stop_), halt (_come or bring to a halt_), quit		to
estodom	(_bus_) stop	to	to
estoka	stock, stockage, inventory; stock		to
estomotsufono	affricate	to	to
estovu	stove		to
estrategi	strategy; strategize		to
estrayki	(labor) strike; (go on) strike		to
estres	stress; stress (out), feel stressed	to	to
estrimi	(live)stream (_internet_); stream	to	to
estripe	strip(tease); strip		to
estripeyen	stripper	te	te
estroberi	strawberry	te, to	to, te
estrontyum	strontium, Sr	to	to
estrutur	structure; structure		to
estudi	study; study		to
estudiyen	student	te	te
estulu	stool	to	to
Etan	Ethan	te	te
etatu	obedience; obey		to
eter	ether		to
etika	ethics		to
etiraf	confession; confess, admit		to
etno	ethnicity, ethnic group		
etnotim	ethnic group, ethnicity		
Eva	Eve	te	te
evolu	evolution, development; evolve		to
evolugi	development; develop	to	to
evoluli teori	theory of evolution		to
ewfonyum	euphonium	to	to
ewkalitus	eucalyptus	te	te
Ewklide	Euclid	te	te
Ewnike	Eunice	te	te
ewreka	discovery, find, finding; discover, find, locate		to
Ewropa	Europe	to	to
Ewropayen	European	te	te
ewropyum	europium, Eu	to	to
Ewskal	Basque Country		
Ewskalsa	Basque (language)	to	to
Ewskalyen	Basque (person)	te	te
exata	emergence; come out, emerge		to
exbao	take out of bag	to	to
exbistar	get out of bed, get up	to	to
excu	; get out	to	to
exdexagi	; exile	to	to
exdunyayen	alien, extraterrestrial	te	te
exergo	fire; quit, resign		to
exergocu	resignation; resign, quit	to	to
exergogi	; fire, oust	to	to
exeskeleto	exoskeleton	to	to
exfon	speaker(s)	to	to
exgi	extraction; take out, extract	to	to
exhawa	; blow (air)		to
exidi	exit, leave; exit, leave, go out		to
exiki	threshold, sill		to
exizin	; release, let out, excuse		to
exjeksi	; draw	to	to
Exkiperi	Albania	to	to
Exkiperisa	Albanian (language)	to	to
Exkiperiyen	Albanian (person)	te	te
exkludi	exclusion, omission; exclude, omit		to
exkopi	; copy out, upload	to	to
exku	(romantic) love, romance; love (romantically)		to
exkudoste	romantic partner, boyfriend, girlfriend		te
exkungan	(outer) space	to	to
exkuyen	lover	te	te
exnafasu	exhalation; exhale		to
expel	; expel	to	to
expesa	expense, expenditure; spend	to	to
explasi	output; take out		to
exporta	export; export		to
exxaher	suburb		to
exya	(the) outside, exterior; be out (of), be outside (of)	to	to
eya	letter e		to
Eyob	Job (_name_)	te	te
Eyre	Ireland	to	to
Eyresa	Irish (language)	to	to
Eyreyen	Irish (person)	te	te
Ezra	Ezra	te	te
fabrika	manufacturing; manufacture		to
fabrikadom	factory, plant	to	to
fabrikayen	manufacturer	te	te
fabula	fable	to	to
fadila	virtue		to
fahexxey	obscenity (_count noun_)	to	to
fahexya	vulgarity, crudeness, obscenity (_noncount noun_)	to	to
fahuriya	pride	to	to
faksi	fax; fax		to
faksitora	fax machine	to	to
faku	fuck; fuck, shag, (have) sex (_vulgar_)		to
falafel	falafel	to	to
fale	deed, act; do, does, make, perform		to
falelexi	verb	to	to
falezi	cliff	to	to
falsoxey	falsehood	to	to
falsoya	falseness	to	to
falya	be (done) by	to	to
famil	family		
familname	last name		to
familyen	relative, family member	te	te
fan	fan	te	te
fanko	mud	to	to
fankobunhway	mudslide		to
fankosokitan	peat, turf		to
fantasi	fantasy		to
faradi	farad	to	to
faraon	pharaoh		te
Farenhayt	Fahrenheit, F	te, to	te, to
farina	flour	to	to
Faroer	Faroe (Islands)		
farxu	carpet		to
fase	phase, stage		to
fasiducu	rot	to	to
fasidugi	make rotten	to	to
fasiismo	fascism	to	to
fasiista	fascist	te	te
fasul	bean	te, to	to, te
fatmin	invention; invent		to
fatmindoku	patent	to	to
fatminyen	inventor	te	te
fato	fact		to
fatura	invoice, bill, check		to
fayda	benefit; benefit		to
faydayen	benefactor	te	te
faylu	file (_collection of paper or data_); file 	to	to
federa	federation		to
fefu	lung	to	to
fefuitis	pneumonitis, pneumonia	to	to
feka	feces, shit; defecate, shit		to
fekagi	cause to defecate, cause to shit	to	to
Feliks	Felix	te	te
felto	felt (_material_)	to	to
fembete	daughter	femte	femte
fembwaw	bitch, dam (_female dog_)	femte	femte
femdoste	girl friend, female friend		femte
femduke	duchess	femte	femte
femgami	wife		femte
femgwafu	widow	femte	femte
femhirxa	hind, doe	femte	femte
femixu	woman		femte
femkonte	countess	femte	femte
femkuku	hen	femte	femte
femkuzin	(female) cousin	femte	femte
femlilbete	granddaughter	femte	femte
femmeme	ewe	femte	femte
femmumu	cow	femte	femte
femnepoti	niece	femte	femte
femnini	girl		femte
fempoemayen	poetess	femte	femte
femprince	princess	femte	femte
femrahibu	nun, sister		femte
femsenyor	lady, ma'am, Mrs.		femte
femsodar	sister	femte	femte
femteo	goddess		femte
femtie	aunt	femte	femte
femuma	mare, female horse	femte	femte
femwangu	queen	femte	femte
femya	femininity	to	to
femyen	female, woman, lady, gal, girl	femte	femte
feniksu	phoenix	te	te
fenjan	cup, mug	to	to
fenomen	phenomenon, phenomena		to
fenxui	feng shui		to
feodalismo	feudalism	to	to
fereto	ferret, _Mustela furo_	te	te
fermenta	fermentation; ferment		to
fermyum	fermium, Fm	to	to
ferne	fern	te	te
festival	festival, fest	to	to
fetixi	fetish, fetishism; fetishize		to
feya	be (at), be located (in), be found (in), be situated (in)	to	to
fibra	(dietary) fiber		to
fida	silver, Ag	to	to
figura	shape, figure; shape		to
Fiji	Fiji	to	to
Fijisa	Fijian (language)	to	to
Fijiyen	Fijian (person)	te	te
fikir	thought; think		to
fikiryen	thinker	te	te
fiksa	fixing, affixing, attaching; fix, affix, attach		to
fikso	affix	to	to
fiksolexi	affixed word	to	to
fiksyon	fiction; make up, fabricate		to
filamen	filament, fiber		to
Filemon	Philemon	te	te
Filipi	Philippi	to	to
Filipu	Philip	te	te
filme	film, movie; film		to
filmearte	cinema, cinematography	to	to
filmedom	movie theater, cinema	to	to
filmekef	director	te	te
filmetul	camera, movie camera, film camera	to	to
filtro	filter; filter		to
filya	inclination, tendency; tend (to)	to	to
finco	finch, _Fringillidae_	te	te
finfley	landing; land		to
fini	end, conclusion; finish, end, finalize, (be) done (with), conclude		to
finikalya	eternity, permanence, infinity	to	to
finili eksame	final exam		to
finrasona	conclusion; conclude (that)		to
finsen	; end up being, turn out to be, prove		to
firaru	escape; escape		to
firarudoyen	escapee	te	te
firma	company, firm, corporation		
firmakef	CEO	te	te
fisika	physics		to
fisu	fee, fare, due, toll, honorarium	to	to
fisyo	physiology, bodily functioning		to
fixin	phishing	to	to
flamingo	flamingo, _Phoenicopteridae_	te	te
fleksi	bend, flex; bend, flex		to
fleksiabilya	flexibility, ability to bend	to	to
fleksiibleya	flexibility, ability to be bent	to	to
flerovyum	flerovium, Fl	to	to
fley	flight; fly		to
fleygi	(cause to) fly (_a plane, drone, kite, etc._)	to	to
fleygikef	pilot (in command), (airline) captain	te	te
fleygiyen	(airline) pilot	te	te
fleysinjabu	flying squirrel, _Pteromyini_	te	te
fleytora	airplane, aeroplane	to	to
fleytoralogi	aviation	to	to
fleytul	wing		to
flirti	flirting, flirtation, coquetry; flirt, coquet		to
flirtifilyen	flirt	te	te
flirtiyen	flirt	te	te
Flores	Flores		
flota	flotation; float		to
fluores	fluorescence; fluoresce		to
fluorin	fluorine, F	to	to
flura	flower, vagina (_sexualized_), vulva (_sexualized_), pussy; bloom, blossom	te	te
flurakabiji	cauliflower	te, to	to, te
flutu	flute	to	to
fobi	fear; frighten, scare, feel frightened, feel scared	to	to
fobikalya	fearlessness	to	to
fokma	seal, _Pinnipedia_	te	te
fokus	focus, concentration; focus, concentrate		to
folcu	; get alongside (of)	to	to
folder	folder	to	to
folgi	; put alongside (of)	to	to
folklor	folklore		to
folo	following; follow		to
foloyen	follower	te	te
folpasa	; pass by		to
folya	be along	to	to
fon	-phone, sound tool 	to	to
fono	speech sound	to	to
forke	fork	to	to
forma	form; form		to
formato	format		to
formu	form (_document_)		to
formula	formula		to
forum	forum		to
fosfato	phosphate		to
fosforo	phosphorus, P	to	to
fosil	fossil; fossilize		to
fosilcu	fossilization; fossilize	to	to
fosilgi	fossilization; fossilize	to	to
foto	photo, photograph, picture; photograph, take a picture, take pictures		to
fototul	camera	to	to
Francisko	Francis	te	te
Franse	France	to	to
Fransesa	French (language)	to	to
Franseyen	Frenchman, Frenchwoman	te	te
fransyum	francium, Fr	to	to
fremu	frame (_of film, video, animation_)		to
frese	milling; mill (metal)		to
frongi	promotion, advancement; promote, foster, further, advance	to	to
fronidi	advance, advancement; advance, proceed		to
fronkadam	progress, advancement; progress, advance		to
fronkumax	apron		to
fronpel	propulsion; propel, push forward	to	to
fronta	forehead, front	to	to
frontasahni	foreground		to
Froyd	Freud	te	te
frustra	frustration; frustrate, be frustrated	to	to
fruta	fruit	to	to
frutosu	fructose, fruit sugar	to	to
fubay	corruption; corrupt		to
fubu	abdomen, belly, gut	to	to
fuha	load, charge, burden; load, charge, burden		to
fukujun	submission; submit (_to a superior force, authority, or will_), yield		to
fukuzacu	; become complicated, get complicated, become complex, get complex	to	to
fukuzagi	complication; complicate	to	to
fukuzaxey	complication	to	to
fukuzaya	complexity	to	to
fuladi	steel		to
fumbun	; rumor		to
funci	satire; satirize		to
fundo	struggle, strife; struggle, contend, grapple, wrestle		to
funduku	hazel, hazelnut, _Corylus_	te	te
funjin	rubella	to	to
funsu	fountain		to
funsyon	functioning; work, function, be in operating condition		to
funsyongi	; run, operate	to	to
furaha	enjoyment, pleasure; pleasure, please, feel pleasure, enjoy oneself	to	to
furifan	furry, furfan	te	te
furikostum	fursuit	to	to
furiperson	fursona		te
furitim	furry fandom, furdom		
furiyen	furry, anthropomorphic animal	te	te
furno	oven; bake	to	to
furnoxey	pastry, baked good	to	to
furnoxeydukan	bakery	to	to
furnoyen	baker	te	te
fustan	dress (_garment_)	to	to
futbal	(American) football, gridiron		to
futbalbol	(American) football (ball)	to	to
futi	foot (_unit_)	to	to
futru	fungus, mushroom	te	te
fuxi	wipe; wipe		to
fyordo	fjord	to	to
fyusi	(electrical) fuse		to
Gabon	Gabon	to	to
Gabriel	Gabriel	te	te
gadibucu	; get angry	to	to
gadibugi	; anger, make angry	to	to
gadibuya	anger	to	to
gadolinyum	gadolinium, Gd	to	to
gaga	stutter, stammer; stutter, stammer		to
gagayen	stutterer	te	te
galaksi	galaxy	to	to
Galati	Galatia		
galon	gallon	to	to
galyum	gallium, Ga	to	to
gambari	shrimp, prawn	te	te
Gambi	The Gambia	to	to
gamel	camel, _Camelini_	te	te
gami	spouse, husband, wife; marry, wed		te
gamiatre	in-laws	te	te
gamibete	daughter-in-law, son-in-law	te	te
gamicu	wedding; get married, marry	to	to
gamiduayen	couple, spouses, husband and wife	te	te
gamigi	(cause to) marry	to	to
gamihalke	wedding ring, wedding band	to	to
gamikalyen	bachelor, bachelorette	te	te
gamisodar	brother-in-law, sister-in-law	te	te
gamivada	engagement, betrothal; engage, become engaged, get engaged, betroth, become betrothed, get betrothed		to
gamivadayen	fiancé, fiancée, betrothed	te	te
gamiya	marriage, spousehood	to	to
Gana	Ghana	to	to
Ganayen	Ghanaian, Ghanan	te	te
gancaw	licorice, liquorice	to	to
ganci	perception; perceive, sense, regard (as), consider (_regard as_)		to
gancikowa	sense		to
gandum	wheat	to	te, to
ganima	booty, loot, spoils; pillage, plunder, ransack, foray, maraud		to
ganjon	emotion, feeling, sentiment; feel (_emotionally, psychologically_)		to
ganjoncu	; feel (_emotionally feel a particular way_)	to	to
ganmoku	bush, shrub	te	te
gansa	goose	te	te
gante	glove	to	to
ganxopu	interference, intervention; interfere, intervene		to
ganzo	liver	to	to
ganzoitis	hepatitis	to	to
gaobahari	high tide	to	to
gaoeskol	high school		to
gaoje	height	to	to
gaoya	tallness	to	to
gapsipe	gossip; gossip		to
garaku	drowning; sinking; drown, sink		to
garakugi	; (cause to) drown, (cause to) sink	to	to
garanti	guarantee, warranty; guarantee		to
gardan	neck	to	to
gardanbendu	necklace, neckband	to	to
gardi	protection; guard, protect		to
gardiyen	protector, guard	te	te
garebi	west		to
gargare	gargle, gurgle		to
garize	instinct, nature		to
garu	scratch; scratch		to
gas	gas; cause to turn gaseous; become gaseous		to
gascu	; become a gas	to	to
gasgi	; (cause to) turn into a gas	to	to
gasolin	gasoline, gas, petrol		to
gawlu	throat	to	to
gawni	gown, robe	to	to
gayser	geyser		to
Gaza	Gaza (Strip)	to	to
gazela	gazelle, _Gazella_	te	te
gazeta	newspaper		to
gebo	arm	to	to
geko	gecko, _Gekkota_	te	te
general	general (_officer_)	te	te
generasi	generation		to
geni	gene	to	to
genixube	strain (_of a virus, etc._)		
genu	root	to	to
genulexi	root word	to	to
geo	land, ground		to
geobunhway	landslide		to
geogardan	isthmus	to	to
geografi	geography	to	to
geokacupa	tortoise, _Testudinidae_	te	te
geologi	geology	to	to
geomaxusgi	annexation; annex	to	to
geometri	geometry		to
geomon	plot (of land), field		to
Georgi	George	te	te
geosui	groundwater	to	to
geosuidom	aquifer	to	to
geotreme	earthquake	to	to
gepu	burp, belch, eructation; burp, belch	to	to
gepugi	cause to burp, cause to belch	to	to
germanyum	germanium, Ge	to	to
geyyen	gay person	te	te
gibatu	slander, libel, calumny, defamation; backbite, badmouth, slander, libel, calumnize, defame		to
gibe	giving; give, grant, award		to
gida	guidance; guide		to
gidatul	guide, legend, key	to	to
gidayen	guide	te	te
gigagon	gigagon, 1000000000-gon	to	to
giganyan	gigayear	to	to
gigi	vagina (_non-clinical_)		to
gileya	wetness	to	to
gimnasti	gymnastics		to
gimnastidom	gym, gymnasium	to	to
gimnastiyen	gymnast 	te	te
gindu	longitude	to	to
Gine	Guinea	to	to
Ginebisaw	Guinea-Bissau	to	to
gingiva	gums, gingiva	to	to
gingivaitis	gingivitis	to	to
ginyem	memento, keepsake, souvenir; commemorate, memorialize		to
gipsu	gypsum, plaster (of Paris)	to	to
girbilo	sieve, strainer, colander, sifter, cribble, sile; sift, strain	to	to
girehe	knot; knot	to	to
gitara	guitar	to	to
gitarayen	guitarist, guitar player	te	te
gitay	expectation, anticipation; expect, anticipate	to	to
gitayfrustra	disappointment, let-down; disappoint, let down	to	to
gixiki	rite, ritual		to
gixim	suspicion; suspect	to	to
glandu	gland, adeno-	to	to
glasu	glass (_drinking_), cup	to	to
glif	glyph, (written) character, symbol, mark		to
globa	world		to
globabasa	world language, international language, worldlang	to	to
Globasa	Globasa	to	to
glu	drink; drink	to	to
glukosu	glucose	to	to
gluten	gluten	to	to
gluxey	beverage, drink	to	to
godoya	excess	to	to
gogo	testicle (_non-clinical_)		to
gol	goal (_soccer, football_), score, touchdown; score		to
golenjan	galangal	to	to
golfu	golf	to	to
golje	score	to	to
golmon	point (_scoring unit_)		to
Golyat	Goliath	te	te
gomi	gum	to	to
gomyoya	wittiness, cleverness, sharpness, astuteness, ingenuity, slickness, craftiness, slyness, cunning, wiliness	to	to
gona	angle, corner		to
gongaw	announcement, proclamation; announce, proclaim		to
gongin	supply, provision; supply, provide	to	to
gonginyen	supplier, provider	te	te
gonorey	gonorrhea	to	to
gorila	gorilla	te	te
gorona	groan, moan; groan, moan	to	to
goronagi	cause (somebody) to groan or to moan, make (somebody) groan or moan 	to	to
gotas	dive, plunge, submerge; dive, plunge, submerge		to
gotaspiu	grebe, dabchick, _Podicipedidae_	te	te
gotasyen	diver	te	te
gowan	testicle, testis, testes	to	to
goyon	employment, hiring; employ, hire	to	to
goyonyen	employer	te	te
goyu	pit, hole; dig, excavate		to
goyutul	shovel	to	to
goyuya	excavation	to	to
grafi	recording, record; record	to	to
grafika	graphic, graphics		to
grafiti	grafitti	to	to
grafito	graphite	to	to
grahana	eclipse	to	to
gramati	grammar		to
gramo	gram	to	to
graneda	grenade	to	to
granito	granite	to	to
gras	grass	te	te
grasgeo	grassland, meadow	to	to
grava	gravel	to	to
Graw	Grau	te	te
Gregori	Gregory	te	te
Grenada	Grenada	to	to
Grenadayen	Grenadian	te	te
gresa	grease		to
grey	gray (_unit_)	to	to
grosela	currant, gooseberry, _Ribes_	te, to	to, te
grupo	group; group (together)		
grupoxube	faction		
gubangu	beetle, _Coleoptera_	te	te
gubar	dust		to
gubarofgi	dusting; dust	to	to
gucam	bunch, cluster, bouquet		to
gude	tickle; tickle		to
gufa	cave, cavern	to	to
Gujarati	Gujarat (_state in India_)	to	to
Gujaratisa	Gujarati (language)	to	to
Gujaratiyen	Gujarati (person)	te	te
guje	; fracture (_become fractured or cause to fracture_)		to
gulam	slave		te
gulamcu	; become a slave	to	to
gulamgi	enslavement; enslave	to	to
gulamya	slavery	to	to
gulun	roll		to
gumbo	stick, rod, club, bar, stake	to	to
gunca	bud, shoot, sprout; bud, sprout, burgeon		to
gungu	bow (_weapon_)	to	to
gupan	pelvis	to	to
guruma	growl, grunt; growl, grunt, grumble, mutter	to	to
gurumagi	cause (somebody) to growl, to grunt, to grumble or to mutter, make (somebody) growl, grunt, grumble or mutter	to	to
guti	solid; solidify (_cause to turn into or become solid_)		to
guton	pain, ache; ache, hurt (_feel or cause pain_)	to	to
Guyana	Guyana	to	to
guzruf	cartilage, gristle	to	to
gwaba	guava	te, to	to, te
gwafu	widow, widower	te	te
gwafuya	widowhood	to	to
gwaho	parenthesis, parentheses	to	to
gwakamole	guacamole	to	to
gwancan	plaza, (town) square	to	to
gwanxi	relationship; relate (to), concern, involve, have to do with		to
gwanxilinku	bond		to
Gwatemala	Guatemala	to	to
Gwatemalayen	Guatemalan	te	te
Habakuk	Habakkuk	te	te
Habel	Abel	te	te
haberi	news	to	to
haberitim	press		
haberiyen	journalist	te	te
hadidu	iron, Fe	to	to
hadu	cheek	to	to
hadya	gift, present; give as present		to
hafnyum	hafnium, Hf	to	to
Hagay	Haggai	te	te
haha	laugh, laughter; laugh	to	to
hahagi	make laugh, cause to laugh	to	to
haja	necessity, need, want; need		to
hajulya	shyness, bashfulness, timidness, coyness	to	to
hake	hack; hack	to	to
hakeyen	hacker	te	te
haki	right; have the right (to)		to
hala	solution; solve		to
halaanxi	clue		to
halaixara	clue		to
halapenyo	jalapeño 	te, to	to, te
halazun	snail	te	te
haleluya	hallelujah		to
haliju	gulf	to	to
halke	ring	to	to
halow	hello (_when answering the phone_)	to	to
Halowin	Halloween		
halu	circumstance		to
halulari	situation		to
hamaka	hammock	to	to
hambo	ham	to	to
hamburger	hamburger, burger	to	to
hamilecu	; get pregnant, become pregnant	to	to
hamilegi	impregnation; impregnate	to	to
hamileya	pregnancy	to	to
hamir	dough	to	to
hamuster	hamster, _Cricetinae_	te	te
Hana	Hannah	te	te
handaki	trench, ditch, moat, gutter		to
hanjer	dagger; stab (with dagger)	to	to
hanmancu	; slow (down)	to	to
hanmangi	; slow (down)	to	to
hanmanya	slowness; be slow	to	to
hanta	hand; handle, hold (_with hands_)	to	to
hantabendu	bracelet, wristband	to	to
hantabol	handball	to	to
hantacudu	grab		to
hantagenu	wrist, carpus	to	to
hantapamtul	handgun, pistol	to	to
hantatul	handle	to	to
hantatwala	hand towel	to	to
harabu	ruin, waste, wreck; ruin, wreck, spoil, desolate, devastate, get ruined, get wrecked, get spoiled, get devastated		to
harase	harassment, bullying; harass, bully		to
hardal	mustard	to	to
hardwer	hardware	to	to
hare	have		to
haregi	provide with, cause to have, get, grant, share	to	to
harepulya	wealth	to	to
hariri	silk	to	to
harita	map; map	to	to
haritalari	atlas		to
harizin	may, have permission (to)		
harka	move, motion, movement; move		to
harufi	letter (_alphabet_); spell		to
harufisistema	spelling system, orthography		to
harufiya	spelling	to	to
harxaf	scale (_of fish, reptile_)		to
harya	be with (_having_)	to	to
Hasan	Hasan, Hassan	te	te
hasaxiya	tenderness, gentleness	to	to
haseda	envy	to	to
hasratu	yearning, longing, pining, craving, aspiration; yearn (for), long (for), thirst (for), pine (for), crave, aspire (to)	to	to
hasyum	hassium, Hs	to	to
hatari	danger; be dangerous, cause to be dangerous, make dangerous		to
hataya	spite (_only in the sense of “despite” and “in spite of”_)	to	to
haul	wolf, _Canis lupus_	te	te
haulsa	howl	to	to
havun	mortar (_pounding vessel_)	to	to
havungumbo	pestle	to	to
hawa	air		to
hawagileje	humidity	to	to
hawagileya	humidity	to	to
hawakontamina	air pollution		to
hawanavi	aircraft	to	to
hawanavidom	airport	to	to
hawanavilogi	aviation	to	to
hawanavitim	airline		to
hawanaviya	aeronautics	to	to
hawanaviyen	pilot, aeronaut	te	te
haxi	chopstick, chopsticks	to	to
haxtagu	hashtag, #	to	to
hay	there is, there are		to
Haya	Armenia	to	to
Hayasa	Armenian (language)	to	to
Hayayen	Armenian (person)	te	te
Hayti	Haiti	to	to
Haywo	Neptune (_planet_)	to	to
hayzi	menstruation, period; menstruate	to	to
hazam	digestion; digest	to	to
hazina	treasure		to
hazunicu	; become sad, get sad	to	to
hazunigi	; sadden	to	to
hazuniya	sadness	to	to
hedro	geometric face, -hedron		to
hegemoni	hegemony		to
Helena	Helen	te	te
helikoter	helicopter	to	to
helmeto	helmet, casque	to	to
helyum	helium, He	to	to
henci	dedication; dedicate		to
henri	henry (unit)	to	to
Henrik	Henry	te	te
herba	herb	to	to
Herkule	Hercules	te	te
herni	hernia; herniate, get herniated	to	to
hero	hero, heroine		te
heroina	heroin	to	to
heroya	heroism	to	to
herpes	herpes	to	to
Hervatska	Croatia	to	to
herzi	hertz	to	to
hesabu	count, calculation; count, calculate		to
hewan	animal	te	te
hewandom	zoo	to	to
hewandomyen	zookeeper	te	te
hewandotor	veterinarian	to	to
hewanlogi	zoology	to	to
hewanmedis	veterinary medicine	to	to
hewanmedisyen	veterinarian 	te	te
Hezekyel	Ezekiel	te	te
hidrogen	hydrogen, H	to	to
hifazi	holding, saving, retention; hold, keep, save, store, retain, maintain		to
hijera	migration; migrate		to
hijerayen	migrant	te	te
hikaye	story, narrative, tale; narrate, relate, recount	to	to
hikayemon	chapter		to
hikayeyen	story teller, storyteller, narrator	te	te
hiku	hiccup, hiccough, singultus; hiccup, hiccough	to	to
hilal	crescent (moon/shape)		to
hilu	heel	to	to
Hindi	Hindi (language)	to	to
Hindiko	Indian Ocean, Indic Ocean		
Hindiyen	Hindi-speaking Indian	te	te
Hinduismo	Hinduism	to	to
Hipokrate	Hippocrates	te	te
hipopotam	hippo, hippopotamus	te	te
hipotesis	hypothesis; hypothesize		to
hipu	hip (_anatomy_)	to	to
hirxa	deer, _Cervidae_	te	te
hirxamaso	venison	to	to
hisi	feeling, sensation; feel (_physically, emotionally, psychologically_)		to
hisicu	; feel (_physically, emotionally or psychologically feel a particular way_)	to	to
histerika	hysteria, hysterics	to	to
histori	history		to
historiyen	historian	te	te
hobi	hobby		to
hodaw	walnut, _Juglans_, nut (_testicle_, _obscene_)	te	te
hoju	porcupine	te	te
hoki	hockey	to	to
hokiyen	hockey player	te	te
hole	sheath, sleeve, shell, casing, holster, holder		to
holmyum	holmium, Ho	to	to
holoba	fenugreek, _Trigonella_	to	to
Holocen	Holocene		
homa	fever	to	to
Homero	Homer	te	te
honcay	iris	to	to
Hondura	Honduras	to	to
Hondurayen	Honduran (person)	te	te
hongu	hole, cavity; bore		to
hongyo	ray, skate, _Batoidea_	te	te
hor	snore; snore	to	to
horgi	; cause (somebody) to snore, make (somebody) snore	to	to
hormona	hormone	to	to
hortum	trunk, proboscis	to	to
Hosea	Hosea	te	te
hospital	hospital	to	to
hosu	lake	to	to
hotdogu	hotdog	to	to
hotel	hotel	to	to
hotuba	sermon, speech, oration; preach, give a speech		to
hoxcu	; get happy, become happy, get glad, become glad	to	to
hoxgi	; make happy, please, be pleasing to	to	to
hoxinlyo	spice	to	to
hoxya	happiness, joy	to	to
hoyo	direction, orientation; orient		to
hoypospel	attraction; attract	to	to
hoyya	be toward, be towards	to	to
hoza	sink, basin, pelvis	to	to
Hudson	Hudson	te	te
huf	hoof	to	to
hufax	bat (_animal_), _Chiroptera_	te	te
huhu	owl, _Strigiformes_	te	te
huhusa	hoot; hoot	to	to
hukimu	judgment; judge		to
hukimudom	courthouse, court (of law), tribunal	to	to
hukimutim	tribunal, court of law		
hukimuyen	judge	te	te
hulasa	summary, synopsis, résumé, abstract, précis; summarize, sum up, recapitulate	to	to
humor	humor; (tell a) joke		to
humorxey	joke	to	to
humus	hummus	to	to
hunfun	excitement, arousal, stimulation, agitation; excite, arouse, stimulate, agitate, feel excited, feel aroused, feel stimulated, feel agitated		to
hura	cheer; cheer (on), root (for); hooray, hurrah, hoorah, yay, woo-hoo	to	to
hurakef	cheerleader	te	te
hurma	date (_fruit_)	te, to	to, te
hurugi	liberation, release, emancipation; liberate, free, release, emancipate	to	to
huruwatu	leisure, availability		to
huruya	liberty, freedom	to	to
huruyen	freeman, freewoman, freedman, freedwoman, free person	te	te
hwam	yawn, oscitation; yawn, oscitate	to	to
hwamgi	; cause to yawn	to	to
hwandun	brass	to	to
hwanjin	environment, ambience, ambiance		to
hwegay	remorse; repent, feel remorse (for)		to
hwepi	avoidance, evasion; avoid, evade, dodge		to
hyanatu	treason, betrayal; betray, commit treason		to
hyanatuyen	traitor	te	te
hyara	cucumber	te, to	to, te
hyena	hyena, _Hyaenidae_	te	te
hyerarki	hierarchy		to
ibada	worship; worship		to
ibadadom	church, temple, sanctuary, shrine	to	to
ibadayen	worshipper, worshiper	te	te
ibe	letter b		to
iblegi	; enable	to	to
ibleje	likelihood, probability	to	to
ibleya	possibility	to	to
ice	letter c		to
ide	letter d		to
idey	idea		to
idi	go		to
idol	idol; idolize		to
idolibada	idolatry		to
ife	letter f		to
ige	letter g		to
igwana	iguana	te	te
ihe	letter h		to
ihtilas	embezzlement; embezzle		to
ije	letter j		to
ijen	opinion, position; opine		to
ikaw	dependence; depend (on), rely (on)		to
ikawkalya	independence	to	to
ikawyen	(a) dependent (person)	te	te
ike	letter k		to
ikna	persuasion; persuade, convince (_someone to do something_)	to	to
ikono	icon (_religious, popular, computing_)		to
iksir	potion, elixir	to	to
ile	letter l		to
ilhamu	inspiration; inspire, feel inspired	to	to
ilusi	illusion; illude		to
imaje	image, picture; imagine		to
imajekrea	; depict, render (_computing_)	to	to
imajeya	imagination	to	to
imanu	belief; believe		to
imanugi	; convince	to	to
imanuyen	believer	te	te
Imarati	United Arab Emirates, Emirates	to	to
ime	letter m		to
imperi	empire		to
imperiismo	imperialism	to	to
imperikef	emperor	te	te
inama	bow, reverence, curtsey; bow (down)		to
inbao	bag (_put inside a bag_)	to	to
inbistar	; go to bed, get in bed	to	to
inbistargi	; put to bed	to	to
inbotela	bottling; bottle	to	to
incesto	incest		to
inci	inch	to	to
incu	; enter, get in	to	to
Indonesi	Indonesia	to	to
Indonesisa	Indonesian (language)	to	to
Indonesiyen	Indonesian 	te	te
industri	industry		to
indyum	indium, In	to	to
ine	letter n		to
inergo	hire; get oneself hired		to
inergogi	; hire	to	to
infarto	infarction, infarct	to	to
infer	inferiority, belowness		to
influenza	flu, influenza, grippe	to	to
infon	microphone	to	to
informe	information; inform		to
informeyen	informant, informer	te	te
infrafuha	download; download	to	to
infragebo	forearm	to	to
