Word		DirectURL	SourcePage	
akiletendon	Achilles tendon	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/1123_Muscles_of_the_Leg_that_Move_the_Foot_and_Toes_b.png/500px-1123_Muscles_of_the_Leg_that_Move_the_Foot_and_Toes_b.png	https://en.wikipedia.org/wiki/File:1123_Muscles_of_the_Leg_that_Move_the_Foot_and_Toes_b.png	
akne	acne	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Comedo.png/330px-Comedo.png	https://en.wikipedia.org/wiki/File:Comedo.png	
aknemon	pustule, pimple, zit			
aknepul	pimply			
akonto	account			
akorde	chord (_music_)	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Frets%2C_guitar_neck%2C_C-major_chord.jpg/960px-Frets%2C_guitar_neck%2C_C-major_chord.jpg	https://en.wikipedia.org/wiki/File:Frets,_guitar_neck,_C-major_chord.jpg	
akordyon	accordion	https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/A_converter_free-bass_piano-accordion_and_a_Russian_bayan.jpg/500px-A_converter_free-bass_piano-accordion_and_a_Russian_bayan.jpg	https://en.wikipedia.org/wiki/File:A_converter_free-bass_piano-accordion_and_a_Russian_bayan.jpg	
akran	scorpion, _Scorpiones_	https://upload.wikimedia.org/wikipedia/commons/9/93/Black_scorpion.jpg	https://species.wikimedia.org/wiki/File:Black_scorpion.jpg	
akrili	acrylic			
akrobati	acrobatics	https://upload.wikimedia.org/wikipedia/commons/9/96/AerialShowgirlsTissu1.jpg	https://en.wikipedia.org/wiki/File:AerialShowgirlsTissu1.jpg	
akrobatili	acrobatic			
akrobatiyen	acrobat 			
akse	axis, axle			
akseli	axial			
aksento	accent (_sociolinguistics_)			
aksetyan	coordinate	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/3D_Spherical.svg/600px-3D_Spherical.svg.png	https://en.wikipedia.org/wiki/File:3D_Spherical.svg	
aksyoma	axiom, postulate, assumption			
aksyomali	axiomatic; axiomatically			
aksyon	action, activity, performance; act, take action, behave, perform			
aksyonfil	active, energetic; actively, energetically			
aksyonkadam	procedure			
akxu	vice (_moral_)			
akxupul	wicked, vile, viciuos; wickedly, vilely, viciuosly			
albatros	albatross, _Diomedeidae_	https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Short_tailed_albatross.jpg/500px-Short_tailed_albatross.jpg	https://species.wikimedia.org/wiki/File:Short_tailed_albatross.jpg	
alegori	allegory			
alegorili	allegoric; axiomatically			
Aleksandro	Alexander			
alergi	allergy			
alergili	allergic (_caused by or relating to an allergy_)			
alergipul	allergic (_having an allergy_)			
alga	alga, algae			
algafutru	lichen	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Lichen-covered_tree%2C_Tresco.jpg/500px-Lichen-covered_tree%2C_Tresco.jpg	https://en.wikipedia.org/wiki/File:Lichen-covered_tree,_Tresco.jpg	
algoritma	algorithm	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/GCD_through_successive_subtractions.svg/500px-GCD_through_successive_subtractions.svg.png	https://en.wikipedia.org/wiki/File:GCD_through_successive_subtractions.svg	
algoritmali	algorithmic; algorithmically			
aligator	alligator, _Alligatorinae_	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/American_Alligator.jpg/500px-American_Alligator.jpg	https://species.wikimedia.org/wiki/File:American_Alligator.jpg	
alim	instruction, teaching; teach, instruct			
alimdo	learned, erudite			
alimible	teachable, amenable to instruction			
alimli	instructional; instructionally			
alimlogi	pedagogy	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Woman_teaching_geometry.jpg/960px-Woman_teaching_geometry.jpg	https://en.wikipedia.org/wiki/File:Woman_teaching_geometry.jpg	
alimlogili	pedagogic; pedagogically			
alimne	instructive; instructively			
alimxey	teaching, teachings			
alimyen	teacher, instructor			
aljebra	algebra			
aljebrali	algebraic; algebraically			
alkali	alkali			
alkalili	alkaline			
alkimi	alchemy			
alkimili	alchemical; alchemically			
alkoba	alcove, recess, niche, nook			
alkohol	alcohol; alcoholize			
alkoholdo	drunk; drunkenly	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/The_wine_is_a_mocker_1663-1664_Jan_Steen.jpg/960px-The_wine_is_a_mocker_1663-1664_Jan_Steen.jpg	https://en.wikipedia.org/wiki/File:The_wine_is_a_mocker_1663-1664_Jan_Steen.jpg	
alkoholfilya	alcoholism			
alkoholfilyen	alcoholic (_one who suffers from alcoholism_)			
alkoholli	alcoholic (_relating to alcohol_)			
almari	cabinet, cupboard			
almasi	diamond	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Rough_Diamond.jpg/960px-Rough_Diamond.jpg	https://en.wikipedia.org/wiki/File:Rough_Diamond.jpg	
almasihalke	diamond ring			
alo	other, another, a different			
alo kom	different from, differ from			
alo- 	other, different			
alocu	change; change, become different, get changed			
alodexa	abroad, foreign country			
alodexali	foreign; foreignly			
aloe	aloe (vera)			
aloete	some other ones			
aloforma	transformation; transform			
alogi	change; alter, (cause to) change, make different			
aloijen	disagreement; disagree			
alojensifil	heterosexual; heterosexually	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/A_Dagomba_couple_from_farm_02.jpg/500px-A_Dagomba_couple_from_farm_02.jpg	https://en.wikipedia.org/wiki/File:A_Dagomba_couple_from_farm_02.jpg	
alokosmo	alternate universe, dimension			
alokrasi	revolution (_regime change_)			
alokwanti 	"a different
quantity of, a different amount of"			
alolabel	relabeling; relabel			
alolide	redirection, referral; redirect, refer			
aloloka	elsewhere, somewhere else			
alomaner	by another manner, by a different manner, in another manner, in a different manner			
alomo	to a different degree			
alondra	lark, _Alaudidae_	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/S%C3%A5ngl%C3%A4rka_Skylark_%2832030853603%29.jpg/960px-S%C3%A5ngl%C3%A4rka_Skylark_%2832030853603%29.jpg	https://species.wikimedia.org/wiki/File:S%C3%A5ngl%C3%A4rka_Skylark_(32030853603).jpg	
alonumer 	a different number of			
aloopsyon	alternative			
alooto	some other things			
alopul	different, a different kind of, (in) another way, (in) a different way			
alopul kom	unlike 			
aloseba	for another reason, for a different reason			
alosu	somebody else's, someone else's			
alote	somebody else, someone else			
aloto	something else, another thing, a different thing			
alowatu	at a different time, at another time			
aloy	alloy	https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Born_bronze_-_Bronze_casts.jpg/960px-Born_bronze_-_Bronze_casts.jpg	https://en.wikipedia.org/wiki/File:Born_bronze_-_Bronze_casts.jpg	
aloya	difference; differ, vary			
aloyagi	distinction, differentiation; differentiate, distinguish			
aloyagiible	distinguishable; distinguishably			
alpaka	alpaca, _Lama pacos_	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Alpacas.JPG/960px-Alpacas.JPG	https://species.wikimedia.org/wiki/File:Alpacas.JPG	
alto	alto			
alucina	hallucination; hallucinate			
alucinagiente	hallucinogen			
aluminyum	aluminum, aluminium, Al	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Aluminium-4.jpg/600px-Aluminium-4.jpg	https://en.wikipedia.org/wiki/File:Aluminium-4.jpg	
am	_imperative verb marker_			
Amara	Amhara region			
Amarali	Amharan			
Amarasa	Amharic (language)	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Amharic.svg/120px-Amharic.svg.png	https://en.wikipedia.org/wiki/File:Amharic.svg	
Amarayen	Amharan (person)			
amaro	bitter (_taste_); bitterly			
amaroya	bitterness			
amber	ambergris	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Ambergris%2C_Skagway_Museum.JPG/960px-Ambergris%2C_Skagway_Museum.JPG	https://en.wikipedia.org/wiki/File:Ambergris,_Skagway_Museum.JPG	
ambisi	ambition; make (somebody) ambitious; be ambitious, aspire			
ambisifil	ambitious; ambitiously			
ambisikal	unambitious; unambitiously			
ambisinenfil	unambitious; unambitiously			
ambisipul	ambitious; ambitiously			
ameba	amoeba	https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Amoeba_collage.jpg/500px-Amoeba_collage.jpg	https://en.wikipedia.org/wiki/File:Amoeba_collage.jpg	
amen	amen			
Amerika	America	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Americas_%28orthographic_projection%29_blank.svg/550px-Americas_%28orthographic_projection%29_blank.svg.png	https://commons.wikimedia.org/wiki/File:Americas_(orthographic_projection)_blank.svg	
Amerikali	North-American, South-American, American (_of or relating to the Americas_) 			
Amerikayen	North American, South American			
amerikyum	americium, Am	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Americium_microscope.jpg/960px-Americium_microscope.jpg	https://en.wikipedia.org/wiki/File:Americium_microscope.jpg	
ametisto	amethyst	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/960px-Amatista_Laye_2.jpg	https://en.wikipedia.org/wiki/File:Amatista_Laye_2.jpg	
amiku	deep, profound; deeply, profoundly	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Deep_hole_-_geograph.org.uk_-_4778506.jpg/500px-Deep_hole_-_geograph.org.uk_-_4778506.jpg	https://commons.wikimedia.org/wiki/File:Deep_hole_-_geograph.org.uk_-_4778506.jpg	
amikucu	; deepen, become deep, become deeper			
amikugi	; deepen, make deep, make deeper			
amikuje	depth			
amikuya	deepness			
amino	amino, amine			
amiru	order; command, order			
amirufil	commanding, bossy, authorative			
amiruli	imperative; imperatively			
amnyon	amnion			
amonyako	ammonia			
Amos	Amos			
amperi	ampere, amp			
ampula	ampoule, ampule, ampul			
amusa	amusement, entertainment, fun; amuse, entertain; have fun, feel or be amused, feel or be entertained			
amusado	amused, entertained			
amusane	amusing, entertaining, fun; amusingly, entertainingly			
amusaparke	amusement park	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tivoligardens2.jpg/960px-Tivoligardens2.jpg	https://commons.wikimedia.org/wiki/File:Tivoligardens2.jpg	
amusaxey	pastime			
amusayen	entertainer			
Ana	Anna			
Anadir	Anadyr			
anakonda	anaconda, _Eunectes_	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Anaconda_jaune_34.JPG/600px-Anaconda_jaune_34.JPG	https://species.wikimedia.org/wiki/File:Anaconda_jaune_34.JPG	
analisi	analysis; analyze			
analisifil	analytical; analytically			
analisili	analytic, analytical; analytically			
analisiyen	analyst			
analogu	analog, analogue			
analoji	analogy			
ananas	pineapple	https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Pineapple_%27Victoria%27_with_slice.jpg/500px-Pineapple_%27Victoria%27_with_slice.jpg	https://en.wikipedia.org/wiki/File:Pineapple_%27Victoria%27_with_slice.jpg	
ananassui	pineappleade			
