	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	isl	afbrýðisamur
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ita	gelosa	f
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ita	geloso	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	jpn	やきもちをやく	tr=yakimochi o yaku
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	jpn	妬ましい	tr=ねたましい, netamashii
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	jpn	嫉妬	tr=しっと, shitto
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	jpn	嫉妬深い	tr=しっとぶかい, shitto-bukai
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	kat	ეჭვიანი
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	khm	ច្រណែន
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	khm	ប្រច័ណ្ឌ
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	lav	greizsirdīgs
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	lit	įtarus	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	mkd	љубоморен
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	nan	食醋	tr=chia̍h-chhò͘	sc=Hani
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	nld	jaloers
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	nor	sjalu
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	pol	zazdrosny	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	por	ciumento
