eng	leader	Noun	tr	one having authority	jpn	元締め	tr=もとじめ, motojime
eng	leader	Noun	tr	one having authority	jpn	指導者	tr=しどうしゃ, shidōsha
eng	leader	Noun	tr	one having authority	jpn	統率者	tr=とうそつしゃ, tousotsu sha
eng	leader	Noun	tr	one having authority	jpn	長	tr=おさ, osa
eng	leader	Noun	tr	one having authority	jpn	頭	tr=かしら, kashira
eng	leader	Noun	tr	one having authority	jpn	首領	tr=しゅりょう, shuryō
eng	leader	Noun	tr	one having authority	kat	ბელადი
eng	leader	Noun	tr	one having authority	kat	გამძღოლი
eng	leader	Noun	tr	one having authority	kat	ლიდერი
eng	leader	Noun	tr	one having authority	kat	მეთაური
eng	leader	Noun	tr	one having authority	kat	წინამძღოლი
eng	leader	Noun	tr	one having authority	kat	ხელმძღვანელი
eng	leader	Noun	tr	one having authority	kaz	көшбасшы
eng	leader	Noun	tr	one having authority	kaz	лидер
eng	leader	Noun	tr	one having authority	khm	ប្រធាន
eng	leader	Noun	tr	one having authority	khm	មេ
eng	leader	Noun	tr	one having authority	khm	មេការ
eng	leader	Noun	tr	one having authority	kik	mũtongoria	c1
eng	leader	Noun	tr	one having authority	kir	жетекчи
eng	leader	Noun	tr	one having authority	kir	лидер
eng	leader	Noun	tr	one having authority	kor	리더
eng	leader	Noun	tr	one having authority	kor	수령
eng	leader	Noun	tr	one having authority	kor	지도자
eng	leader	Noun	tr	one having authority	kor	指導者
eng	leader	Noun	tr	one having authority	lao	ຜູ້ນຳ
eng	leader	Noun	tr	one having authority	lat	caput	n
eng	leader	Noun	tr	one having authority	lat	ductor	m
eng	leader	Noun	tr	one having authority	lat	ductrīx	f
eng	leader	Noun	tr	one having authority	lat	dux	c
eng	leader	Noun	tr	one having authority	lat	praefectus	m
eng	leader	Noun	tr	one having authority	lat	praepositus	m
eng	leader	Noun	tr	one having authority	lat	prīnceps	c
eng	leader	Noun	tr	one having authority	lav	līderis	m
eng	leader	Noun	tr	one having authority	lav	vadītājs	m
eng	leader	Noun	tr	one having authority	lav	vadonis	m
eng	leader	Noun	tr	one having authority	lit	lyderis	m
eng	leader	Noun	tr	one having authority	lit	vadovas	m
eng	leader	Noun	tr	one having authority	ltg	vaduojs	m
eng	leader	Noun	tr	one having authority	mkd	водач	m
eng	leader	Noun	tr	one having authority	mkd	лидер	m
eng	leader	Noun	tr	one having authority	mon	толгойлогч
eng	leader	Noun	tr	one having authority	mon	удирдагч
eng	leader	Noun	tr	one having authority	mri	hautū
eng	leader	Noun	tr	one having authority	mri	ihorei
eng	leader	Noun	tr	one having authority	mri	kaiarataki
eng	leader	Noun	tr	one having authority	mri	kaihautū
eng	leader	Noun	tr	one having authority	mri	kaingārahu
eng	leader	Noun	tr	one having authority	mri	kaitaki
eng	leader	Noun	tr	one having authority	mri	kaitakitaki
eng	leader	Noun	tr	one having authority	mri	kaitātaki
eng	leader	Noun	tr	one having authority	mri	manukura
eng	leader	Noun	tr	one having authority	mri	pā whakawairua
eng	leader	Noun	tr	one having authority	mri	poutoko
eng	leader	Noun	tr	one having authority	mri	poutoko
eng	leader	Noun	tr	one having authority	mri	tātāriki
eng	leader	Noun	tr	one having authority	msa	ketua
eng	leader	Noun	tr	one having authority	msa	pemimpin
