eng	yearning	Noun	tr	wistful or melancholy longing	deu	Sehnsucht	f
eng	yearning	Noun	tr	wistful or melancholy longing	epo	dezirego
eng	yearning	Noun	tr	wistful or melancholy longing	fin	ikävä
eng	yearning	Noun	tr	wistful or melancholy longing	fin	kaipaus
eng	yearning	Noun	tr	wistful or melancholy longing	fin	kaipuu
eng	yearning	Noun	tr	wistful or melancholy longing	fra	aspiration	f
eng	yearning	Noun	tr	wistful or melancholy longing	fra	envie	f
eng	yearning	Noun	tr	wistful or melancholy longing	grc	ὄρεξις	f
eng	yearning	Noun	tr	wistful or melancholy longing	grc	πόθος	m
eng	yearning	Noun	tr	wistful or melancholy longing	hbs	čežnja	f
eng	yearning	Noun	tr	wistful or melancholy longing	heb	כִּיסּוּפִים	tr=kisufim	sc=Hebr
eng	yearning	Noun	tr	wistful or melancholy longing	hye	կարոտ
eng	yearning	Noun	tr	wistful or melancholy longing	ita	anelito	m
eng	yearning	Noun	tr	wistful or melancholy longing	ita	brama	f
eng	yearning	Noun	tr	wistful or melancholy longing	ita	bramosia	f
eng	yearning	Noun	tr	wistful or melancholy longing	ita	desiderio	m
eng	yearning	Noun	tr	wistful or melancholy longing	ita	nostalgia	f
eng	yearning	Noun	tr	wistful or melancholy longing	ita	struggimento	m
eng	yearning	Noun	tr	wistful or melancholy longing	ita	voglia	f
eng	yearning	Noun	tr	wistful or melancholy longing	jpn	あこがれ	tr=akogare
eng	yearning	Noun	tr	wistful or melancholy longing	kat	წყურვილი
eng	yearning	Noun	tr	wistful or melancholy longing	kor	동경
eng	yearning	Noun	tr	wistful or melancholy longing	mri	poreirewa
eng	yearning	Noun	tr	wistful or melancholy longing	pam	dulap
eng	yearning	Noun	tr	wistful or melancholy longing	pol	tęsknota	f
eng	yearning	Noun	tr	wistful or melancholy longing	por	saudade
eng	yearning	Noun	tr	wistful or melancholy longing	ron	dorință arzătoare	f
eng	yearning	Noun	tr	wistful or melancholy longing	ron	dor	n
eng	yearning	Noun	tr	wistful or melancholy longing	ron	năzuință	f
eng	yearning	Noun	tr	wistful or melancholy longing	rus	скло́нность	f
eng	yearning	Noun	tr	wistful or melancholy longing	rus	стремле́ние	n
eng	yearning	Noun	tr	wistful or melancholy longing	rus	тоска́	f
eng	yearning	Noun	tr	wistful or melancholy longing	rus	тя́га	f
eng	yearning	Noun	tr	wistful or melancholy longing	san	छन्दस्	n
eng	yearning	Noun	tr	wistful or melancholy longing	spa	anhelo	m
eng	yearning	Noun	tr	wistful or melancholy longing	tur	hasret
eng	yearning	Noun	tr	wistful or melancholy longing	tur	özlem
eng	yearning	Noun	tr	wistful or melancholy longing	txb	ñyās
eng	year	Noun	tr	a period between set dates that mark a year	kea	anu
eng	year	Noun	tr	a period between set dates that mark a year	kea	óne
eng	year	Noun	tr	time it takes for the Earth to complete one revolution around the Sun	arg	anyo
eng	year	Noun	tr	time it takes for the Earth to complete one revolution around the Sun	kik	mwaka	c3
eng	year	Noun	tr	time it takes for the Earth to complete one revolution around the Sun	oji	biboon
eng	year	Noun	tr	time it takes for the Earth to complete one revolution around the Sun	oji	gikinoonowin
eng	year	Noun	tr	time it takes for the Earth to complete one revolution around the Sun	orm	waggaa
eng	year	Noun	tr	time it takes for the Earth to complete one revolution around the Sun	snd	سال	tr=sālu
eng	yearn	Verb	tr	to have a strong desire for something or to do something	ara	اِشْتَاقَ
eng	yearn	Verb	tr	to have a strong desire for something or to do something	bel	нудзі́цца	impf
eng	yearn	Verb	tr	to have a strong desire for something or to do something	bel	сумава́ць	impf
eng	yearn	Verb	tr	to have a strong desire for something or to do something	bel	тужы́ць	impf
eng	yearn	Verb	tr	to have a strong desire for something or to do something	bul	копне́я	impf
eng	yearn	Verb	tr	to have a strong desire for something or to do something	cat	anhelar
eng	yearn	Verb	tr	to have a strong desire for something or to do something	cat	ansiejar
eng	yearn	Verb	tr	to have a strong desire for something or to do something	ceb	hidlaw
eng	yearn	Verb	tr	to have a strong desire for something or to do something	cmn	思念	tr=sīniàn
eng	yearn	Verb	tr	to have a strong desire for something or to do something	cmn	想念	tr=xiǎngniàn
eng	yearn	Verb	tr	to have a strong desire for something or to do something	cmn	盼念	tr=pànniàn
eng	yearn	Verb	tr	to have a strong desire for something or to do something	cym	dyheu
eng	yearn	Verb	tr	to have a strong desire for something or to do something	dan	længte efter
eng	yearn	Verb	tr	to have a strong desire for something or to do something	dan	længte til
eng	yearn	Verb	tr	to have a strong desire for something or to do something	deu	sich sehnen
eng	yearn	Verb	tr	to have a strong desire for something or to do something	deu	verlangen
eng	yearn	Verb	tr	to have a strong desire for something or to do something	deu	vermissen
eng	yearn	Verb	tr	to have a strong desire for something or to do something	ell	επιθυμώ
