eng	wrap around one's little finger	Verb	tr	to successfully control or influence	pol	owinąć sobie kogoś wokół palca
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	por	encoleirar
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	rus	вить верёвки
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	spa	tener a alguien comiendo de la mano
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	swe	linda kring sitt finger
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	swe	linda runt sitt finger
eng	wrap	Noun	tr	food	aze	dürmək
eng	wrap	Noun	tr	food	deu	Wrap
eng	wrap	Noun	tr	food	epo	vrapo
eng	wrap	Noun	tr	food	fin	rulla
eng	wrap	Noun	tr	food	fin	wrap
eng	wrap	Noun	tr	food	fin	wrappi
eng	wrap	Noun	tr	food	fra	crêpe	f
eng	wrap	Noun	tr	food	fra	wrap	m
eng	wrap	Noun	tr	food	ita	rotolo	m
eng	wrap	Noun	tr	food	ita	sandwich arrotolato	m
eng	wrap	Noun	tr	food	kat	ვრეპი
eng	wrap	Noun	tr	food	kat	კრეპი
eng	wrap	Noun	tr	food	rus	врап
eng	wrap	Noun	tr	food	spa	wrap	m
eng	wrap	Noun	tr	food	swe	crêpe	c
eng	wrap	Noun	tr	food	swe	wrap	c
eng	wrap	Noun	tr	garment	ces	plášť	m
eng	wrap	Noun	tr	garment	ces	přehoz	m
eng	wrap	Noun	tr	garment	deu	Schal	m
eng	wrap	Noun	tr	garment	deu	Umhang	m
eng	wrap	Noun	tr	garment	fin	peitto
eng	wrap	Noun	tr	garment	fra	écharpe	f
eng	wrap	Noun	tr	garment	fra	foulard	m
eng	wrap	Noun	tr	garment	grc	περιβόλαιον	n
eng	wrap	Noun	tr	garment	ita	cappotto	m
eng	wrap	Noun	tr	garment	ita	scialle	m
eng	wrap	Noun	tr	garment	ita	sciarpa	f
eng	wrap	Noun	tr	garment	mri	hikurere
eng	wrap	Noun	tr	garment	nld	omslag
eng	wrap	Noun	tr	garment	ron	șal	n
eng	wrap	Noun	tr	garment	ron	veșmânt	n	alt=veșmânt înfășurător
eng	wrap	Noun	tr	garment	rus	шаль	f
eng	wrap	Noun	tr	garment	spa	chal	m
eng	wrap	Noun	tr	garment	swe	sjal	c
eng	wrap	Noun	tr	garment	swe	skynke	n
eng	wrapped	Adjective	tr	encased in a wrapping	ara	مَلْفُوف
eng	wrapped	Adjective	tr	encased in a wrapping	cic	aboknóyyo'ha
eng	wrapped	Adjective	tr	encased in a wrapping	deu	eingewickelt
eng	wrapped	Adjective	tr	encased in a wrapping	fin	kääritty
eng	wrapped	Adjective	tr	encased in a wrapping	fin	paketoitu
eng	wrapped	Adjective	tr	encased in a wrapping	fra	emballée	f
eng	wrapped	Adjective	tr	encased in a wrapping	fra	emballé	m
eng	wrapped	Adjective	tr	encased in a wrapping	fra	enveloppé	m
eng	wrapped	Adjective	tr	encased in a wrapping	ita	incartato
eng	wrapped	Adjective	tr	encased in a wrapping	rus	завёрнутый
eng	wrapped	Adjective	tr	encased in a wrapping	sdc	imburigàdu
eng	wrapped	Adjective	tr	encased in a wrapping	sdn	imbulicàtu
eng	wrapper	Noun	tr	a negligée or loose dressing gown	bul	хавли́я	f
eng	wrapper	Noun	tr	a negligée or loose dressing gown	bul	хала́т	m
eng	wrapper	Noun	tr	a negligée or loose dressing gown	gle	scaoilteog	f
eng	wrapper	Noun	tr	a negligée or loose dressing gown	rus	наки́дка	f
eng	wrapper	Noun	tr	a negligée or loose dressing gown	rus	ночну́шка	f
eng	wrapper	Noun	tr	a negligée or loose dressing gown	rus	пеньюа́р	m
