eng	Dhivehi	Noun	tr	an Indo-Aryan language	nno	maldivisk
eng	Dhivehi	Noun	tr	an Indo-Aryan language	nob	dhivehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	nob	maldivisk
eng	Dhivehi	Noun	tr	an Indo-Aryan language	pol	malediwski	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	por	divehi	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	ron	divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	rus	диве́хи	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	rus	дхиве́хи	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	rus	мальди́вский	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	rus	мальди́вский язы́к	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	slk	maldivčina	f
eng	Dhivehi	Noun	tr	an Indo-Aryan language	spa	dhivehi	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	spa	maldivo	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	swe	divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	tam	திவெயி மொழி	sc=Taml
eng	Dhivehi	Noun	tr	an Indo-Aryan language	tha	ภาษาดิเวฮิ	tr=paasăa dìwayhí
eng	Dhivehi	Noun	tr	an Indo-Aryan language	tur	Divehi dili
eng	Dhofari	Adjective	tr	pertaining to Dhofar	ara	ظفاري
eng	Dhofari	Noun	tr	person from Dhofar	ara	ظفاري	m
eng	Dhofari	Noun	tr	person from Dhofar	ara	ظفارية	f
eng	Dhul Hijjah	Proper noun	tr	12th month of the Islamic calendar	ara	ذو الحجَة	m
eng	Dhul Hijjah	Proper noun	tr	12th month of the Islamic calendar	msa	bulan haji
eng	Dhul Hijjah	Proper noun	tr	12th month of the Islamic calendar	msa	Zulhijah
eng	Dhul Hijjah	Proper noun	tr	12th month of the Islamic calendar	tur	zilhicce
