	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Egeria	Proper noun	tr	Asteroid	ell	Ηγερία	f
eng	Egeria	Proper noun	tr	The Roman nymph or goddess	ell	Ηγερία	f
eng	Eger	Proper noun	tr	city in Hungary	hun	Eger
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	lit	egiptietiškas
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	mkd	египетски
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	msa	Mesir
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	mya	အီဂျစ်
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	nld	Egyptisch
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	nno	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	nob	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	non	egipzkr
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	pih	Ejiiptyan
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	pol	egipski	m
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	por	egípcio
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ron	egiptean	m
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	rus	еги́петский
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	slk	egyptský
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	slv	egipčanski
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	spa	egipcio
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	sqi	egjiptian
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	swa	Kimisri
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	swe	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	tgk	мисрӣ
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	tgl	Ehipsiyo
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	tha	อียิปต์
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	tuk	müsür
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	tur	Mısır
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	tur	Mısırlı
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ukr	єги́петський
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	uzb	misr
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	vie	Ai Cập
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	vol	Lägüptänik
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	aeb	مصري	m	tr=maṣrī	sc=Arab
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	ara	عَامِّيَّة مِصْرِيَّة	f	tr=ʿāmmiyya miṣriyya
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	ara	لَهْجَة مِصْرِيَّة	f	tr=lahja miṣriyya
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	ara	مِصْرِيَّة	f
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	arz	اللغة المصرية العامية	tr=il-lugha l-maṣriyya l-ʕammiyya	sc=Arab
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	arz	اللغه المصريه الحديثه	sc=Arab
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	arz	مصرى	tr=maṣri	sc=Arab
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	cat	àrab egipci	m
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	cmn	埃及阿拉伯語	sc=Hani
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	cmn	埃及阿拉伯语	tr=Āijí Ālābó yǔ	sc=Hani
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	deu	Ägyptisch-Arabisch	n
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	fas	عربی مصری	tr='arabi mesri	sc=fa-Arab
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	fra	arabe égyptien	m
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	glg	árabe exipcio
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	heb	ערבית מצרית	f
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	jpn	アラビア語エジプト方言	tr=Arabia-go Ejiputo hōgen	sc=Jpan
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	kor	이집트아랍어
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	kor	에짚트아랍말
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	pol	egipski arabski	m
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	por	árabe egípcio	m
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	rus	еги́петский ара́бский	m
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	spa	árabe egipcio
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	swa	kiarabu cha Misri	cki	cvi
eng	Egyptian Arabic	Proper noun	tr	Egyptian Arabic	tur	Mısır Arapçası
eng	Egyptian blue	Noun	tr		grc	κύανος
eng	Egyptian blue	Noun	tr		lat	caeruleum
eng	Egyptian blue	Noun	tr		lat	coeruleum
eng	Egyptian cobra	Noun	tr	''Naja haje''	cmn	埃及眼鏡蛇	sc=Hani
eng	Egyptian cobra	Noun	tr	''Naja haje''	cmn	埃及眼镜蛇	tr=Āijí yǎnjìngshé	sc=Hani
eng	Egyptian cobra	Noun	tr	''Naja haje''	deu	Ägyptische Kobra	f
eng	Egyptian cobra	Noun	tr	''Naja haje''	deu	Uräusschlange	f
eng	Egyptian cobra	Noun	tr	''Naja haje''	est	Egiptuse kobra
