	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	urd	سلاوی	tr=slāvī
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	uzb	slavyan
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	vie	Xla-vơ
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	yid	סלאַוויש
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	yue	斯拉夫	tr=si1 laai1 fu1
eng	Slavicize	Verb	tr		ell	εκσλαβίζω
eng	Slavicize	Verb	tr		fra	slaviser
eng	Slavicness	Noun	tr	state or quality	fin	slaavilaisuus
eng	Slavic studies	Noun	tr	academic discipline	ces	slavistika	f
eng	Slavic studies	Noun	tr	academic discipline	deu	Slawistik	f
eng	Slavic studies	Noun	tr	academic discipline	epo	slavistiko
eng	Slavic studies	Noun	tr	academic discipline	fra	slavistique	f
eng	Slavic studies	Noun	tr	academic discipline	hun	szlavisztika
eng	Slavic studies	Noun	tr	academic discipline	kat	სლავთმცოდნეობა
eng	Slavic studies	Noun	tr	academic discipline	kat	სლავისტიკა
eng	Slavic studies	Noun	tr	academic discipline	mon	слав судлал	sc=Cyrl
eng	Slavic studies	Noun	tr	academic discipline	nld	slavistiek	f
eng	Slavic studies	Noun	tr	academic discipline	pol	slawistyka	f
eng	Slavic studies	Noun	tr	academic discipline	pol	słowianoznawstwo	n
eng	Slavic studies	Noun	tr	academic discipline	rue	славі́стика	f	sc=Cyrl
eng	Slavic studies	Noun	tr	academic discipline	rus	слави́стика	f
eng	Slavic studies	Noun	tr	academic discipline	rus	славянове́дение	n
eng	Slavism	Noun	tr	a Slavic idiom or phrase	bel	славі́зм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	bel	славяні́зм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	bul	слави́зъм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	bul	славяни́зъм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	ces	slavismus	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	deu	Slawismus	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	fin	slavismi
eng	Slavism	Noun	tr	a Slavic idiom or phrase	fra	slavisme	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	hbs	slavenizam	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	hbs	slavizam	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	hbs	slovenizam	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	hbs	славенизам	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	hbs	славизам	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	hbs	словенизам	m
