	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slovakization	Noun	tr	process of Slovakizing	fin	slovakialaistaminen
eng	Slovakization	Noun	tr	process of Slovakizing	rus	словакиза́ция	f
eng	Slovakization	Noun	tr	process of Slovakizing	slk	poslovenčenie	n
eng	Slovakization	Noun	tr	process of Slovakizing	slk	poslovenčovanie	n
eng	Slovakization	Noun	tr	process of Slovakizing	slk	slovakizácia	f
eng	Slovakize	Verb	tr	to make or render Slovak	deu	slowakisieren
eng	Slovakize	Verb	tr	to make or render Slovak	deu	verslowaken
eng	Slovakize	Verb	tr	to make or render Slovak	fin	slovakialaistaa
eng	Slovakize	Verb	tr	to make or render Slovak	rus	словакизи́ровать
eng	Slovakness	Noun	tr	quality	fin	slovakialaisuus
eng	Slovakness	Noun	tr	quality	pol	słowacczyzna	f
eng	Slovak	Noun	tr	language of Slovakia	ara	سْلُوفَاكِيَّة	f
eng	Slovak	Noun	tr	language of Slovakia	bel	слава́цкая	f	sc=Cyrl
eng	Slovak	Noun	tr	language of Slovakia	bel	слава́цкая мо́ва	f	sc=Cyrl
eng	Slovak	Noun	tr	language of Slovakia	bul	слова́шки	m
eng	Slovak	Noun	tr	language of Slovakia	cat	eslovac	m
eng	Slovak	Noun	tr	language of Slovakia	ces	slovenština
eng	Slovak	Noun	tr	language of Slovakia	cmn	斯洛伐克語	sc=Hani
eng	Slovak	Noun	tr	language of Slovakia	cmn	斯洛伐克语	tr=sīluòfákèyǔ	sc=Hani
eng	Slovak	Noun	tr	language of Slovakia	cor	Slovakek	m
eng	Slovak	Noun	tr	language of Slovakia	cym	Slofaceg	f
eng	Slovak	Noun	tr	language of Slovakia	dan	slovakisk	n
eng	Slovak	Noun	tr	language of Slovakia	deu	Slowakisch	n
eng	Slovak	Noun	tr	language of Slovakia	ell	σλοβάκικα	n-p
eng	Slovak	Noun	tr	language of Slovakia	eus	eslovakiera
eng	Slovak	Noun	tr	language of Slovakia	fao	slovakskt	n
eng	Slovak	Noun	tr	language of Slovakia	fas	اسلواکی	tr=eslovāki
eng	Slovak	Noun	tr	language of Slovakia	fas	زبان اسلواکی	tr=zabān eslovāki
eng	Slovak	Noun	tr	language of Slovakia	fin	slovakki
eng	Slovak	Noun	tr	language of Slovakia	fra	slovaque	m
eng	Slovak	Noun	tr	language of Slovakia	gle	Slóvaicis
eng	Slovak	Noun	tr	language of Slovakia	glg	eslovaco	m
eng	Slovak	Noun	tr	language of Slovakia	hbs	slovački	m
eng	Slovak	Noun	tr	language of Slovakia	hbs	словачки	m	sc=Cyrl
eng	Slovak	Noun	tr	language of Slovakia	hin	स्लोवाक्	sc=Deva
eng	Slovak	Noun	tr	language of Slovakia	hun	szlovák
eng	Slovak	Noun	tr	language of Slovakia	hye	սլովակերեն
eng	Slovak	Noun	tr	language of Slovakia	isl	slóvakíska	f
eng	Slovak	Noun	tr	language of Slovakia	isl	slóvaska	f
eng	Slovak	Noun	tr	language of Slovakia	ita	slovacco	m
eng	Slovak	Noun	tr	language of Slovakia	jpn	スロヴァキア語	tr=スロヴァキアご, surovakiago
eng	Slovak	Noun	tr	language of Slovakia	jpn	スロバキア語	tr=スロバキアご, surobakiago
eng	Slovak	Noun	tr	language of Slovakia	kmr	slovakî
eng	Slovak	Noun	tr	language of Slovakia	kor	슬로바키아어
eng	Slovak	Noun	tr	language of Slovakia	lav	slovāku
eng	Slovak	Noun	tr	language of Slovakia	lav	slovāku valoda	f
eng	Slovak	Noun	tr	language of Slovakia	lit	slovakų
eng	Slovak	Noun	tr	language of Slovakia	lit	slovakų kalba
eng	Slovak	Noun	tr	language of Slovakia	mkd	словачки	m
eng	Slovak	Noun	tr	language of Slovakia	nav	Słóbaʼ bizaad
eng	Slovak	Noun	tr	language of Slovakia	nld	Slovaaks	n
eng	Slovak	Noun	tr	language of Slovakia	nld	Slowaaks	n
eng	Slovak	Noun	tr	language of Slovakia	nno	slovakisk	m
eng	Slovak	Noun	tr	language of Slovakia	nob	slovakisk	m
eng	Slovak	Noun	tr	language of Slovakia	pol	słowacki	m-in
eng	Slovak	Noun	tr	language of Slovakia	por	eslovaco	m
eng	Slovak	Noun	tr	language of Slovakia	ron	limba slovacă	f
eng	Slovak	Noun	tr	language of Slovakia	ron	slovacă	f
eng	Slovak	Noun	tr	language of Slovakia	rue	слова́цькы
eng	Slovak	Noun	tr	language of Slovakia	rus	слова́цкий	m
eng	Slovak	Noun	tr	language of Slovakia	slk	slovenčina
eng	Slovak	Noun	tr	language of Slovakia	slv	slováščina	f
eng	Slovak	Noun	tr	language of Slovakia	spa	eslovaco	m
eng	Slovak	Noun	tr	language of Slovakia	swa	Kislovaki
eng	Slovak	Noun	tr	language of Slovakia	swa	Kislovakia
eng	Slovak	Noun	tr	language of Slovakia	swe	slovakiska	c
eng	Slovak	Noun	tr	language of Slovakia	tir	ስሎቨክኛ
eng	Slovak	Noun	tr	language of Slovakia	tur	Slovakça
eng	Slovak	Noun	tr	language of Slovakia	ukr	слова́цька	f
eng	Slovak	Noun	tr	language of Slovakia	yid	סלאָוואַקיש	n
eng	Slovak	Noun	tr	native of Slovakia	ara	سْلُوفَاكِيّ	m
eng	Slovak	Noun	tr	native of Slovakia	ara	سْلُوفَاكِيَّة	f
eng	Slovak	Noun	tr	native of Slovakia	bel	слава́к	m	sc=Cyrl
eng	Slovak	Noun	tr	native of Slovakia	bel	слава́чка	f	sc=Cyrl
eng	Slovak	Noun	tr	native of Slovakia	bul	слова́к	m
eng	Slovak	Noun	tr	native of Slovakia	bul	слова́чка	f
eng	Slovak	Noun	tr	native of Slovakia	cat	eslovaca	f
eng	Slovak	Noun	tr	native of Slovakia	cat	eslovac	m
eng	Slovak	Noun	tr	native of Slovakia	ces	Slovák	m
eng	Slovak	Noun	tr	native of Slovakia	ces	Slovenka	f
eng	Slovak	Noun	tr	native of Slovakia	cmn	斯洛伐克人	tr=sīluòfákèrén	sc=Hani
eng	Slovak	Noun	tr	native of Slovakia	cor	Slovakes	f
eng	Slovak	Noun	tr	native of Slovakia	cor	Slovak	m
eng	Slovak	Noun	tr	native of Slovakia	cym	Slofaciad	m	f
eng	Slovak	Noun	tr	native of Slovakia	dan	slovak	c
eng	Slovak	Noun	tr	native of Slovakia	deu	Slowake	m
eng	Slovak	Noun	tr	native of Slovakia	deu	Slowakin	f
eng	Slovak	Noun	tr	native of Slovakia	epo	slovakino
eng	Slovak	Noun	tr	native of Slovakia	epo	slovako
eng	Slovak	Noun	tr	native of Slovakia	eus	eslovakiar
eng	Slovak	Noun	tr	native of Slovakia	fao	slovaki	m
eng	Slovak	Noun	tr	native of Slovakia	fin	slovakki
eng	Slovak	Noun	tr	native of Slovakia	fra	Slovaque	m	f
eng	Slovak	Noun	tr	native of Slovakia	gle	Slóvacach
eng	Slovak	Noun	tr	native of Slovakia	glg	eslovaco	m
eng	Slovak	Noun	tr	native of Slovakia	hbs	Slovakinja	f
eng	Slovak	Noun	tr	native of Slovakia	hbs	Slovak	m
eng	Slovak	Noun	tr	native of Slovakia	hbs	Словак	m	sc=Cyrl
eng	Slovak	Noun	tr	native of Slovakia	hbs	Словакиња	f	sc=Cyrl
eng	Slovak	Noun	tr	native of Slovakia	hun	szlovák
eng	Slovak	Noun	tr	native of Slovakia	hye	սլովակ
eng	Slovak	Noun	tr	native of Slovakia	isl	Slóvaki	m
eng	Slovak	Noun	tr	native of Slovakia	ita	slovacca	f
eng	Slovak	Noun	tr	native of Slovakia	ita	slovacco	m
eng	Slovak	Noun	tr	native of Slovakia	jpn	スロヴァキア人	tr=スロヴァキアじん, surovakiajin
eng	Slovak	Noun	tr	native of Slovakia	jpn	スロバキア人	tr=スロバキアじん, surobakiajin
eng	Slovak	Noun	tr	native of Slovakia	lav	slovākiete	f
eng	Slovak	Noun	tr	native of Slovakia	lav	slovāks	m
eng	Slovak	Noun	tr	native of Slovakia	lit	slovakas	m
eng	Slovak	Noun	tr	native of Slovakia	lit	slovakė	f
eng	Slovak	Noun	tr	native of Slovakia	mkd	Словак	m	sc=Cyrl
eng	Slovak	Noun	tr	native of Slovakia	mkd	Словачка	f	sc=Cyrl
eng	Slovak	Noun	tr	native of Slovakia	nld	Slovaak	m
eng	Slovak	Noun	tr	native of Slovakia	nld	Slovaakse	f
eng	Slovak	Noun	tr	native of Slovakia	nld	Slowaak	m
eng	Slovak	Noun	tr	native of Slovakia	nld	Slowaakse	f
eng	Slovak	Noun	tr	native of Slovakia	nno	slovak	m
eng	Slovak	Noun	tr	native of Slovakia	nob	slovak	m
eng	Slovak	Noun	tr	native of Slovakia	pol	Słowaczka	f
eng	Slovak	Noun	tr	native of Slovakia	pol	Słowak	m-pr
eng	Slovak	Noun	tr	native of Slovakia	por	eslovaco	m
eng	Slovak	Noun	tr	native of Slovakia	ron	slovacă	f
eng	Slovak	Noun	tr	native of Slovakia	ron	slovac	m
eng	Slovak	Noun	tr	native of Slovakia	rue	Слова́к	m
eng	Slovak	Noun	tr	native of Slovakia	rue	Слова́чка	f
eng	Slovak	Noun	tr	native of Slovakia	rus	слова́к	m
eng	Slovak	Noun	tr	native of Slovakia	rus	слова́чка	f
eng	Slovak	Noun	tr	native of Slovakia	slk	Slovák	m
eng	Slovak	Noun	tr	native of Slovakia	slk	Slovenka	f
eng	Slovak	Noun	tr	native of Slovakia	slv	Slovákinja	f
eng	Slovak	Noun	tr	native of Slovakia	slv	Slovák	m
eng	Slovak	Noun	tr	native of Slovakia	spa	eslovaca	f
eng	Slovak	Noun	tr	native of Slovakia	spa	eslovaco	m
eng	Slovak	Noun	tr	native of Slovakia	swa	Mslovaki
eng	Slovak	Noun	tr	native of Slovakia	swa	Mslovakia
eng	Slovak	Noun	tr	native of Slovakia	swe	slovak	c
eng	Slovak	Noun	tr	native of Slovakia	swe	slovakiska	c
eng	Slovak	Noun	tr	native of Slovakia	tur	Slovak
eng	Slovak	Noun	tr	native of Slovakia	tur	Slovakyalı
eng	Slovak	Noun	tr	native of Slovakia	ukr	слова́к	m
eng	Slovak	Noun	tr	native of Slovakia	ukr	слова́чка	f
eng	Slovak	Noun	tr	native of Slovakia	yid	סלאָוואַק	m
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	ara	جُمْهُورِيَّة سْلُوفَاكِيَا	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	bel	Слава́цкая Рэспу́бліка	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	bul	Словашка република	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	cat	República Eslovaca	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	ces	Slovenská republika	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	cmn	斯洛伐克共和国	tr=Sīluòfákè Gònghéguó
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	cmn	斯洛伐克共和國
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	dan	Slovakiske republik	c
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	deu	Slowakische Republik	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	ell	Δημοκρατία της Σλοβακίας	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	est	Slovaki Vabariik
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	eus	Eslovakiako Errepublika
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	fas	جمهوری اسلواکی	tr=jomhuri-ye eslovâki
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	fin	Slovakian tasavalta
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	fra	République slovaque	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	gle	Poblacht na Slóvaice	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	glg	República Eslovaca	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	hbs	Slovačka Republika	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	hbs	Словачка Република	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	heb	הָרֶפּוּבְּלִיקָה הָסְלוֹבַקִית	tr=Ha-republikah ha-Slovakiya
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	hun	Szlovák Köztársaság
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	hye	Սլովակիայի Հանրապետություն
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	isl	Lýðveldið Slóvakía
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	ita	Repubblica Slovacca	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	jpn	スロバキア共和国	tr=Surobakia Kyōwakoku
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	kat	სლოვაკეთის რესპუბლიკა
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	kor	슬로벤스코 공화국
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	lav	Slovākijas Republika	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	lit	Slovakijos Respublika	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	nld	Slowaakse Republiek	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	nno	Den slovakiske republikken	m
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	nob	Den slovakiske republikk	m
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	pol	Republika Słowacka	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	por	República Eslovaca	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	ron	Republica Slovacă	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	rus	Слова́цкая Респу́блика	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	slk	Slovenská republika	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	slv	Slovaška republika	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	spa	República Eslovaca	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	swe	Republiken Slovakien	c
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	tha	สาธารณรัฐสโลวัก	tr=sǎa-taa-rá-ná-rát sà-loo-wák
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	tur	Slovak Cumhuriyeti
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	ukr	Словацька Республіка	f
eng	Slovak Republic	Proper noun	tr	official name of Slovakia	vie	Cộng hòa Slovakia
eng	Slovene	Adjective	tr	adjective	ara	سْلُوفِينِيّ	tr=slovēniyy
eng	Slovene	Adjective	tr	adjective	aze	sloven
eng	Slovene	Adjective	tr	adjective	bel	славе́нскі
eng	Slovene	Adjective	tr	adjective	ben	স্লোভেনীয়
eng	Slovene	Adjective	tr	adjective	bul	слове́нски
eng	Slovene	Adjective	tr	adjective	cat	eslovè
eng	Slovene	Adjective	tr	adjective	ces	slovinský
eng	Slovene	Adjective	tr	adjective	cmn	斯洛文尼亚	tr=Sīluòwénníyà de	alt=斯洛文尼亚的	sc=Hani
eng	Slovene	Adjective	tr	adjective	cmn	斯洛文尼亞	alt=斯洛文尼亞的	sc=Hani
eng	Slovene	Adjective	tr	adjective	cym	Slofenaidd
eng	Slovene	Adjective	tr	adjective	dan	slovensk
eng	Slovene	Adjective	tr	adjective	deu	slowenisch
eng	Slovene	Adjective	tr	adjective	deu	windisch
eng	Slovene	Adjective	tr	adjective	ell	σλοβενικός
eng	Slovene	Adjective	tr	adjective	epo	slovena
eng	Slovene	Adjective	tr	adjective	est	sloveeni
eng	Slovene	Adjective	tr	adjective	eus	esloveniar
eng	Slovene	Adjective	tr	adjective	fas	اسلوونیائی	tr=esluveniyâ'i	sc=fa-Arab
eng	Slovene	Adjective	tr	adjective	fas	اسلوونیایی	tr=esluveniyâyi	sc=fa-Arab
eng	Slovene	Adjective	tr	adjective	fin	slovenialainen
eng	Slovene	Adjective	tr	adjective	fra	slovène	m	f
eng	Slovene	Adjective	tr	adjective	gle	Slóivéanach
eng	Slovene	Adjective	tr	adjective	glg	esloveno	m
eng	Slovene	Adjective	tr	adjective	hbs	slovenački
eng	Slovene	Adjective	tr	adjective	hbs	slovenski
eng	Slovene	Adjective	tr	adjective	hbs	словеначки
eng	Slovene	Adjective	tr	adjective	hin	स्लोवेनियाई
eng	Slovene	Adjective	tr	adjective	hun	szlovén
eng	Slovene	Adjective	tr	adjective	hye	սլովեներեն
eng	Slovene	Adjective	tr	adjective	jpn	スロヴェニア	tr=Surovenia no	alt=スロヴェニアの
eng	Slovene	Adjective	tr	adjective	jpn	スロベニア	tr=Surobenia no	alt=スロベニアの
eng	Slovene	Adjective	tr	adjective	kat	სლოვენიური
eng	Slovene	Adjective	tr	adjective	kaz	словен
eng	Slovene	Adjective	tr	adjective	khm	ស្លូវេនី
eng	Slovene	Adjective	tr	adjective	kir	словен
eng	Slovene	Adjective	tr	adjective	kor	슬로베니아	alt=슬로베니아의
eng	Slovene	Adjective	tr	adjective	lav	slovēnisks
eng	Slovene	Adjective	tr	adjective	lav	slovēņu
eng	Slovene	Adjective	tr	adjective	lit	slovėniškas	m
eng	Slovene	Adjective	tr	adjective	lit	slovėnų
eng	Slovene	Adjective	tr	adjective	mkd	словенечки
eng	Slovene	Adjective	tr	adjective	mon	словен
eng	Slovene	Adjective	tr	adjective	mya	ဆလိုဗေးနီးယား
eng	Slovene	Adjective	tr	adjective	nld	Sloveens
eng	Slovene	Adjective	tr	adjective	nno	slovensk
eng	Slovene	Adjective	tr	adjective	nob	slovensk
eng	Slovene	Adjective	tr	adjective	oci	eslovèn
eng	Slovene	Adjective	tr	adjective	pol	słoweński
eng	Slovene	Adjective	tr	adjective	por	esloveno
eng	Slovene	Adjective	tr	adjective	ron	sloven	m
eng	Slovene	Adjective	tr	adjective	rue	словіньскый
eng	Slovene	Adjective	tr	adjective	rus	слове́нский
eng	Slovene	Adjective	tr	adjective	slk	slovinský
eng	Slovene	Adjective	tr	adjective	slv	slovénski
eng	Slovene	Adjective	tr	adjective	spa	esloveno
eng	Slovene	Adjective	tr	adjective	sqi	slloven
eng	Slovene	Adjective	tr	adjective	swe	slovensk
eng	Slovene	Adjective	tr	adjective	tgk	словенӣ
eng	Slovene	Adjective	tr	adjective	tuk	slowen
eng	Slovene	Adjective	tr	adjective	tur	Sloven
eng	Slovene	Adjective	tr	adjective	uig	سلوۋېن
eng	Slovene	Adjective	tr	adjective	ukr	слове́нський
eng	Slovene	Adjective	tr	adjective	uzb	sloven
eng	Slovene	Adjective	tr	adjective	vie	Xlô-ven-ni-a
eng	Slovene alphabet	Proper noun	tr	the alphabet used in the Slovene language	ron	alfabet sloven
eng	Slovene alphabet	Proper noun	tr	the alphabet used in the Slovene language	slv	slovenska abeceda	f
eng	Slovene alphabet	Proper noun	tr	the alphabet used in the Slovene language	tur	Sloven abecesi
eng	Slovene alphabet	Proper noun	tr	the alphabet used in the Slovene language	tur	Sloven alfabesi
eng	Slovene	Noun	tr	a person	ara	سْلُوفِينِيّ	m	tr=slovēniyy
eng	Slovene	Noun	tr	a person	ara	سْلُوفِينِيَّة	f	tr=slovēniyya
eng	Slovene	Noun	tr	a person	bel	славе́нец	m
eng	Slovene	Noun	tr	a person	bel	славе́нка	f
eng	Slovene	Noun	tr	a person	bul	слове́нец	m
eng	Slovene	Noun	tr	a person	bul	слове́нка	f
eng	Slovene	Noun	tr	a person	ces	Slovinec	m
eng	Slovene	Noun	tr	a person	ces	Slovinka	f
eng	Slovene	Noun	tr	a person	cmn	斯洛文尼亚人	tr=sīluòwénníyàrén, sīluòwénníyǎrén
eng	Slovene	Noun	tr	a person	cmn	斯洛文尼亞人
eng	Slovene	Noun	tr	a person	cor	Slovenes	f
eng	Slovene	Noun	tr	a person	cor	Sloven	m
eng	Slovene	Noun	tr	a person	cym	Slofeniad	m	f
eng	Slovene	Noun	tr	a person	dan	slovener	c
eng	Slovene	Noun	tr	a person	deu	Slowene	m
eng	Slovene	Noun	tr	a person	deu	Slowenin	f
eng	Slovene	Noun	tr	a person	deu	Windische	f
eng	Slovene	Noun	tr	a person	deu	Windischer	m
eng	Slovene	Noun	tr	a person	ell	Σλοβένα	f
eng	Slovene	Noun	tr	a person	ell	Σλοβένος	m
eng	Slovene	Noun	tr	a person	epo	slovenino
eng	Slovene	Noun	tr	a person	epo	sloveno
eng	Slovene	Noun	tr	a person	fas	اسلوونیائی	tr=esluveniyâ'i	sc=fa-Arab
eng	Slovene	Noun	tr	a person	fas	اسلوونیایی	tr=esluveniyâyi	sc=fa-Arab
eng	Slovene	Noun	tr	a person	fin	sloveeni
eng	Slovene	Noun	tr	a person	fin	slovenialainen
eng	Slovene	Noun	tr	a person	fra	Slovène	m	f
eng	Slovene	Noun	tr	a person	gle	Slóivéanach	m
eng	Slovene	Noun	tr	a person	hbs	Slovenac	m
eng	Slovene	Noun	tr	a person	hbs	Slovenka	f
eng	Slovene	Noun	tr	a person	hbs	Словенац	m
eng	Slovene	Noun	tr	a person	hbs	Словенка	f
eng	Slovene	Noun	tr	a person	hun	szlovén
eng	Slovene	Noun	tr	a person	isl	Slóveni	m
eng	Slovene	Noun	tr	a person	jpn	スロベニア人	tr=surobeniajin
eng	Slovene	Noun	tr	a person	kat	სლოვენიელი
eng	Slovene	Noun	tr	a person	lav	slovēniete	f
eng	Slovene	Noun	tr	a person	lav	slovēnis	m
eng	Slovene	Noun	tr	a person	lit	slovėnas	m
eng	Slovene	Noun	tr	a person	lit	slovėnė	f
eng	Slovene	Noun	tr	a person	mkd	Словенец	m
eng	Slovene	Noun	tr	a person	mkd	Словенка	f
eng	Slovene	Noun	tr	a person	nld	Sloveen	m
eng	Slovene	Noun	tr	a person	nld	Sloveense	f
eng	Slovene	Noun	tr	a person	nno	slovenar	m
eng	Slovene	Noun	tr	a person	nno	sloven	m
eng	Slovene	Noun	tr	a person	nob	slovener	m
eng	Slovene	Noun	tr	a person	oci	eslovèn	m
eng	Slovene	Noun	tr	a person	pol	Słoweniec	m-pr
eng	Slovene	Noun	tr	a person	pol	Słowenka	f
eng	Slovene	Noun	tr	a person	por	eslovena	f
eng	Slovene	Noun	tr	a person	por	esloveno	m
eng	Slovene	Noun	tr	a person	ron	slovenă	f
eng	Slovene	Noun	tr	a person	ron	sloven	m
eng	Slovene	Noun	tr	a person	rus	слове́нец	m
eng	Slovene	Noun	tr	a person	rus	слове́нка	f
eng	Slovene	Noun	tr	a person	slk	Slovinec	m
eng	Slovene	Noun	tr	a person	slk	Slovinka	f
eng	Slovene	Noun	tr	a person	slv	Slovénec	m
eng	Slovene	Noun	tr	a person	slv	Slovénka	f
eng	Slovene	Noun	tr	a person	spa	esloveno	m
eng	Slovene	Noun	tr	a person	swe	sloven	m
eng	Slovene	Noun	tr	a person	swe	slovenska	f
eng	Slovene	Noun	tr	a person	tur	Sloven
eng	Slovene	Noun	tr	a person	tur	Slovenyalı
eng	Slovene	Noun	tr	a person	ukr	слове́нець	m
eng	Slovene	Noun	tr	a person	ukr	слове́нка	f
eng	Slovene	Proper noun	tr	the language	ara	سْلُوفِينِيَّة	f	tr=slovēniyya
eng	Slovene	Proper noun	tr	the language	aze	sloven
eng	Slovene	Proper noun	tr	the language	aze	sloven dili
eng	Slovene	Proper noun	tr	the language	bel	славе́нская	f	sc=Cyrl
eng	Slovene	Proper noun	tr	the language	bel	славе́нская мо́ва	f	sc=Cyrl
eng	Slovene	Proper noun	tr	the language	ben	স্লোভেনীয়
eng	Slovene	Proper noun	tr	the language	ben	স্লোভেনীয় ভাষা
eng	Slovene	Proper noun	tr	the language	bul	слове́нски	m
eng	Slovene	Proper noun	tr	the language	cat	eslovè	m
eng	Slovene	Proper noun	tr	the language	ces	slovinština	f
eng	Slovene	Proper noun	tr	the language	cmn	斯洛文尼亚语	tr=sīluòwénníyàyǔ, sīluòwénníyǎyǔ
eng	Slovene	Proper noun	tr	the language	cmn	斯洛文尼亞語
eng	Slovene	Proper noun	tr	the language	cym	Slofeneg	f
eng	Slovene	Proper noun	tr	the language	dan	slovensk
eng	Slovene	Proper noun	tr	the language	deu	Slowenisch	n
eng	Slovene	Proper noun	tr	the language	deu	Windisch	n
eng	Slovene	Proper noun	tr	the language	dsb	słowjeńšćina
eng	Slovene	Proper noun	tr	the language	dsb	słowjeńska rěč
eng	Slovene	Proper noun	tr	the language	ell	σλοβενικά	n-p
eng	Slovene	Proper noun	tr	the language	epo	slovena
eng	Slovene	Proper noun	tr	the language	eus	esloveniera
eng	Slovene	Proper noun	tr	the language	fas	اسلوونیائی	tr=esluveniyâ'i	sc=fa-Arab
eng	Slovene	Proper noun	tr	the language	fas	اسلوونیایی	tr=esluveniyâyi	sc=fa-Arab
eng	Slovene	Proper noun	tr	the language	fin	sloveeni
eng	Slovene	Proper noun	tr	the language	fra	slovène	m
eng	Slovene	Proper noun	tr	the language	fur	sloven
eng	Slovene	Proper noun	tr	the language	gle	Slóivéinis	f
eng	Slovene	Proper noun	tr	the language	hbs	slovenački	m
eng	Slovene	Proper noun	tr	the language	hbs	словеначки	m
eng	Slovene	Proper noun	tr	the language	hin	स्लोवेनियन
eng	Slovene	Proper noun	tr	the language	hin	स्लोवेनियाई	f
eng	Slovene	Proper noun	tr	the language	hsb	słowjenšćina
eng	Slovene	Proper noun	tr	the language	hsb	słowjenska rěč
eng	Slovene	Proper noun	tr	the language	hun	szlovén
eng	Slovene	Proper noun	tr	the language	hye	սլովեներեն
eng	Slovene	Proper noun	tr	the language	isl	slóvenska	f
eng	Slovene	Proper noun	tr	the language	ita	sloveno	m
eng	Slovene	Proper noun	tr	the language	jpn	スロベニア語	tr=surobeniago
eng	Slovene	Proper noun	tr	the language	kat	სლოვენური
eng	Slovene	Proper noun	tr	the language	kor	슬로베니아어
eng	Slovene	Proper noun	tr	the language	lav	slovēņu
eng	Slovene	Proper noun	tr	the language	lav	slovēņu valoda	f
eng	Slovene	Proper noun	tr	the language	lit	slovėniškas
eng	Slovene	Proper noun	tr	the language	mkd	словенечки	m
eng	Slovene	Proper noun	tr	the language	nav	Słobíín bizaad
eng	Slovene	Proper noun	tr	the language	nld	Sloveens	n
eng	Slovene	Proper noun	tr	the language	nno	slovensk	m
eng	Slovene	Proper noun	tr	the language	nob	slovensk	m
eng	Slovene	Proper noun	tr	the language	oci	eslovèn	m
eng	Slovene	Proper noun	tr	the language	pol	słoweński
eng	Slovene	Proper noun	tr	the language	por	esloveno	m
eng	Slovene	Proper noun	tr	the language	ron	limba slovenă	f
eng	Slovene	Proper noun	tr	the language	ron	slovenă	f
eng	Slovene	Proper noun	tr	the language	rus	слове́нский	m
eng	Slovene	Proper noun	tr	the language	sco	Slovenie
eng	Slovene	Proper noun	tr	the language	slk	slovinčina	f
eng	Slovene	Proper noun	tr	the language	slv	slovénščina	f
eng	Slovene	Proper noun	tr	the language	spa	esloveno	m
eng	Slovene	Proper noun	tr	the language	sqi	slloven
eng	Slovene	Proper noun	tr	the language	swe	slovenska
eng	Slovene	Proper noun	tr	the language	tur	Slovence
eng	Slovene	Proper noun	tr	the language	ukr	слове́нська	f
eng	Slovenia	Proper noun	tr	country in Europe	afr	Slowenië
eng	Slovenia	Proper noun	tr	country in Europe	amh	ስሎቬኒያ	sc=Ethi
eng	Slovenia	Proper noun	tr	country in Europe	ara	سْلُوفِينِيَا	f	tr=slovēniyā
eng	Slovenia	Proper noun	tr	country in Europe	arc	ܣܠܘܒܢܝܐ	sc=Hebr
eng	Slovenia	Proper noun	tr	country in Europe	ast	Eslovenia
eng	Slovenia	Proper noun	tr	country in Europe	aze	Sloveniya
eng	Slovenia	Proper noun	tr	country in Europe	bak	Словения	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	bel	Славе́нія	f	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	ben	স্লোভেনিয়া	sc=Beng
